title,links
Randomstrasse101: Open Problems of 2025,https://arxiv.org/abs/2603.29571
"A short tour of operator learning theory: Convergence rates, statistical limits, and open questions",https://arxiv.org/abs/2603.00819
Model theory of tame valued fields and beyond: recent developments and open questions,https://arxiv.org/abs/2512.06386
Some open questions and conjectures about visibility and iteration in bounded convex domains in $\mathbb C^N$,https://arxiv.org/abs/2507.19967
Results and open questions on the boundary control of moving sets,https://arxiv.org/abs/2502.06050
Answering open questions in biology using spatial genomics and structured methods,https://arxiv.org/abs/2310.09482
Open questions in descriptive set theory and dynamical systems,https://arxiv.org/abs/2305.00248
Higher rank Brill-Noether theory and coherent systems: Open questions,https://arxiv.org/abs/2108.08169
Some Open Questions in Quiver Gauge Theory,https://arxiv.org/abs/2108.05167
Polycyclic Codes Associated with Trinomials: Good Codes and Open Questions,https://arxiv.org/abs/2106.12065
25 open questions about vector bundles and their moduli,https://arxiv.org/abs/2106.06434
Subsums of Null Sequences: A Survey and Open Questions,https://arxiv.org/abs/2012.00813
Conjectures and Open Questions on the Structure and Regularity of Spaces with Lower Ricci Curvature Bounds,https://arxiv.org/abs/2010.10031
"An update on Weihrauch complexity, and some open questions",https://arxiv.org/abs/2008.11168
20 open questions about deformations of compactifiable manifolds,https://arxiv.org/abs/2004.11299
Toward epidemic thresholds on temporal networks: a review and open questions,https://arxiv.org/abs/1910.11474
Input-to-state stability of infinite-dimensional systems: recent results and open questions,https://arxiv.org/abs/1910.01714
Free boundary minimal surfaces in the unit ball : recent advances and open questions,https://arxiv.org/abs/1907.05053
Group actions on 1-manifolds: a list of very concrete open questions,https://arxiv.org/abs/1712.06462
Open Questions for operators related to Rectangular Catalan Combinatorics,https://arxiv.org/abs/1603.04476
Some open questions in analysis for Dirichlet series,https://arxiv.org/abs/1601.01616
Open questions about Ramsey-type statements in reverse mathematics,https://arxiv.org/abs/1506.04780
Current Open Questions in Complete Mixability,https://arxiv.org/abs/1411.6190
On some open questions in bilinear quantum control,https://arxiv.org/abs/1304.7181
Combinatorial identities related to eigenfunction decompositions of Hill operators: Open Questions,https://arxiv.org/abs/1210.0835
Some open questions on anti-de Sitter geometry,https://arxiv.org/abs/1205.6103
Group actions on 4-manifolds: some recent results and open questions,https://arxiv.org/abs/0912.2662
Extra extension properties of equidimensional holomorphic mappings: results and open questions,https://arxiv.org/abs/0810.4588
Recent progress and open questions on the numerical index of Banach spaces,https://arxiv.org/abs/math/0605781
Basic Properties of Strong Mixing Conditions. A Survey and Some Open Questions,https://arxiv.org/abs/math/0511078
"Some open questions about symplectic 4-manifolds, singular plane curves, and braid group factorizations",https://arxiv.org/abs/math/0410119
The Lyapin's notebook: a collection of unsolved problems in Semigroup Theory,https://arxiv.org/abs/2604.04763
Open Conjectures on Congruences,https://arxiv.org/abs/0911.5665
Some problems and conjectures about $L^2$-invariants,https://arxiv.org/abs/2311.17830
Semigroups of rational functions: some problems and conjectures,https://arxiv.org/abs/2110.01507
"Theorems, Problems and Conjectures",https://arxiv.org/abs/1207.4045
Problems and Conjectures in Matrix and Operator Inequalities,https://arxiv.org/abs/1201.5232
"Problems and Conjectures presented at the Third International Conference on Permutation Patterns, University of Florida, March 7-11, 2005",https://arxiv.org/abs/math/0505504
Negative (and Positive) Circles in Signed Graphs: A Problem Collection,https://arxiv.org/abs/1701.07963
Negative Circles in Signed Graphs: A Problem Collection,https://arxiv.org/abs/1610.04690
"Problem collection from the IML programme: Graphs, Hypergraphs, and Computing",https://arxiv.org/abs/1511.00270
Exploring Progressions: A Collection of Problems,https://arxiv.org/abs/0904.3855
A Collection of Problems on Spectrally Bounded Operators,https://arxiv.org/abs/0810.2673
Conformally invariant scaling limits (an overview and a collection of problems),https://arxiv.org/abs/math/0602151
Research problems on relations between Nijenhuis geometry and integrable systems,https://arxiv.org/abs/2410.04276
Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200
Additive Combinatorics: A Menu of Research Problems,https://arxiv.org/abs/1705.07444
Research problem: The completion number of a graph,https://arxiv.org/abs/math/0312390
A few problems on monodromy and discriminants,https://arxiv.org/abs/1504.01997
