Unnamed: 0,macro_subject,domain_group,category_tag,open_status,paper_title,paper_id
0,Number Theory,Number Theory,Diophantine equations,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
1,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,open,,0704.1689
2,Number Theory,Number Theory,Diophantine equations with binomial coefficients,solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
3,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,unknown,,0704.1689
4,Number Theory,Number Theory,generalized Fermat equations,solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
5,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,open,,0704.1689
6,Number Theory,Number Theory,Lebesgue–Nagell equations,partially_solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
7,Algebra,Algebra and Representation Theory,Hessian nilpotent power series and the Vanishing Conjecture,open,,0704.1689
8,Number Theory,Number Theory,Generalized Fermat equations,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
9,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,open,,0704.1689
10,Number Theory,Number Theory,Generalized Fermat equations,partially_solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
11,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,open,,0704.1689
12,Number Theory,Number Theory,Rational points on hyperelliptic curves,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
13,Algebra,Algebra and Representation Theory,Hessian nilpotent polynomials,open,,0704.1689
14,Number Theory,Number Theory,Diophantine approximation of logarithms,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
15,Number Theory,Number Theory,barriers for arithmetic functions,unknown,,0705.1381
16,Number Theory,Number Theory,Exponential Diophantine equations,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
17,Number Theory,Number Theory,divisor function,solved,,0705.1381
18,Number Theory,Number Theory,Perfect powers in short intervals,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
19,Algebra,Algebra and Representation Theory,Tensor rank varieties / Salmon conjecture,solved,,0707.4558
20,Number Theory,Number Theory,Diophantine equations / arithmetic progressions of perfect powers,solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
21,Algebra,Algebra and Representation Theory,algebraic statistics and secant varieties,open,,0707.4558
22,Number Theory,Number Theory,Diophantine equations,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
23,Algebra,Algebra and Representation Theory,Algebraic statistics / ML degree,solved,,0707.4558
24,Number Theory,Number Theory,Quartic Diophantine equations,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
25,Algebraic Geometry / Statistics,"Probability, Statistics, and ML",maximum likelihood degree,open,,0707.4558
26,Number Theory,Number Theory,Generalized Fermat equations,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
27,Statistics and Machine Learning,"Probability, Statistics, and ML",algebraic statistics / ML degree,open,,0707.4558
28,Number Theory,Number Theory,Generalized Fermat / ternary Diophantine equations,partially_solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
29,Algebraic Statistics,"Probability, Statistics, and ML",ML degree of determinantal varieties,partially_solved,,0707.4558
30,Number Theory,Number Theory,Rational points on hyperelliptic curves,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
31,Statistics and Machine Learning,"Probability, Statistics, and ML",algebraic statistics / maximum likelihood on rank-constrained matrices,solved,,0707.4558
32,Number Theory,Number Theory,Generalized Fermat equations / Hasse principle,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
33,Algebra,Algebra and Representation Theory,Gaussian conditional independence / gaussoids,open,,0707.4558
34,Number Theory,Number Theory,Sums of primes and perfect powers,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
35,Statistics and Machine Learning,"Probability, Statistics, and ML",Gaussian conditional independence models,open,,0707.4558
36,Number Theory,Number Theory,Diophantine equations,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
37,Algebra,Algebra and Representation Theory,Gaussoids and conditional independence,partially_solved,,0707.4558
38,Number Theory,Number Theory,S-unit equations and factorials,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
39,Algebra,Algebra and Representation Theory,Principal minors and submodular cone,partially_solved,,0707.4558
40,Number Theory,Number Theory,Diophantine equations with Fibonacci numbers,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,07-workshop-problems
41,Algebra,Algebra and Representation Theory,Algebraic statistics / conditional independence varieties,unknown,,0707.4558
42,Mathematical Physics,Mathematical Physics,Quantum channels and CPT maps,open,Open Problems in Quantum Information Theory,0708.1902
