source,source_id,title,url,year,phrase,extra
zbmath,3780005,Open problems,https://zbmath.org/3780005,1980.0,open problems,links=nan
zbmath,3906348,Open problems,https://zbmath.org/3906348,1985.0,open problems,links=nan
zbmath,89059,Open problems,https://zbmath.org/89059,1992.0,open problems,links=nan
zbmath,6309957,Some open problems,https://zbmath.org/6309957,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-02132-4_1|https://arxiv.org/abs/1304.2590
zbmath,47630,Open problems in topology,https://zbmath.org/47630,1990.0,open problems,links=nan
zbmath,2142896,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/2142896,2004.0,open problems,links=https://doi.org/10.1080/10236190410001726458
zbmath,1404606,Open problems of approximation,https://zbmath.org/1404606,1997.0,open problems,links=nan
zbmath,426262,Open problems in geometry,https://zbmath.org/426262,1993.0,open problems,links=nan
zbmath,1471384,Open problems in geometry,https://zbmath.org/1471384,2000.0,open problems,links=nan
zbmath,970434,Open problems and conjectures,https://zbmath.org/970434,1995.0,open problems,links=nan
zbmath,1284206,Some open problems.,https://zbmath.org/1284206,1999.0,open problems,links=nan
zbmath,4184372,Open problems in topology,https://zbmath.org/4184372,1991.0,open problems,links=https://doi.org/10.1016/0166-8641(91)90043-L
zbmath,3982538,Open problems in stringology,https://zbmath.org/3982538,1985.0,open problems,links=nan
zbmath,3958946,Some open problems,https://zbmath.org/3958946,1986.0,open problems,links=https://doi.org/10.1016/0167-2789(86)90158-2
zbmath,744105,Open problems in algorithm design,https://zbmath.org/744105,1993.0,open problems,links=nan
zbmath,15504,A collection of open problems,https://zbmath.org/15504,1989.0,open problems,links=nan
zbmath,1820121,Some open problems in elasticity.,https://zbmath.org/1820121,2002.0,open problems,links=https://doi.org/10.1007/0-387-21791-6_1
zbmath,6408310,"Open problems: descending cohomology, geometrically",https://zbmath.org/6408310,2014.0,open problems,links=https://doi.org/10.4310/ICCM.2014.v2.n1.a7
zbmath,6756818,Open problems for equienergetic graphs,https://zbmath.org/6756818,2015.0,open problems,links=http://ijmc.kashanu.ac.ir/./article_10844.html
zbmath,3840062,Open problems in diophantine approximation,https://zbmath.org/3840062,1983.0,open problems,links=nan
zbmath,5507021,Open problems in algebraic statistics,https://zbmath.org/5507021,2009.0,open problems,links=https://arxiv.org/abs/0707.4558
zbmath,1708189,Open problems in \(\Phi\)-convexity,https://zbmath.org/1708189,2001.0,open problems,links=nan
zbmath,6857138,Open problems in number theory,https://zbmath.org/6857138,1999.0,open problems,links=https://doi.org/10.4310/CDM.1997.v1997.n1.a9
zbmath,5635794,Gronwall lemmas: ten open problems,https://zbmath.org/5635794,2009.0,open problems,links=http://www.jams.or.jp/scm/abstract/e-2009/2009-29a.txt
zbmath,7799891,Some of my favorite open problems,https://zbmath.org/7799891,2023.0,open problems,links=https://doi.org/10.4171/RLM/1008
zbmath,7658194,Geometric hydrodynamics in open problems,https://zbmath.org/7658194,2023.0,open problems,links=https://doi.org/10.1007/s00205-023-01848-x|https://arxiv.org/abs/2205.01143
zbmath,7051843,Open problems for Painlevé equations,https://zbmath.org/7051843,2019.0,open problems,links=https://doi.org/10.3842/SIGMA.2019.006|https://arxiv.org/abs/1901.10122|http://www.emis.de/24982
zbmath,4198868,"Paracommutators - brief introduction, open problems",https://zbmath.org/4198868,1989.0,open problems,links=https://eudml.org/doc/43487
zbmath,2112060,Open problems in Euclidean Ramsey theory,https://zbmath.org/2112060,2004.0,open problems,links=nan
zbmath,900432891,Open problems on Iwahori-Hecke algebras,https://zbmath.org/900432891,2020.0,open problems,links=https://arxiv.org/abs/2006.08535
zbmath,5877623,Open problems,https://zbmath.org/5877623,2011.0,open problems,links=https://doi.org/10.1007/978-3-0348-0037-2_8
zbmath,3577710,Some open problems of approximation theory,https://zbmath.org/3577710,1976.0,open problems,links=nan
zbmath,3315407,Approximation by rational functions: Open problems,https://zbmath.org/3315407,1970.0,open problems,links=https://doi.org/10.1016/0021-9045(70)90049-3
zbmath,5159470,Open problems in topology. II,https://zbmath.org/5159470,2007.0,open problems,links=nan
zbmath,2142653,Open problems in partition regularity,https://zbmath.org/2142653,2003.0,open problems,links=https://doi.org/10.1017/S0963548303005716
zbmath,5828017,Open problems in Euclidean Ramsey theory,https://zbmath.org/5828017,2011.0,open problems,links=https://doi.org/10.1007/978-0-8176-8092-3_7
zbmath,1284424,Open problems on cyclic codes,https://zbmath.org/1284424,1998.0,open problems,links=nan
zbmath,900090306,Open problems (for AGNES),https://zbmath.org/900090306,2010.0,open problems,links=https://arxiv.org/abs/1004.3259
zbmath,3769691,Varieties of lattices: Some open problems,https://zbmath.org/3769691,1982.0,open problems,links=nan
zbmath,1184289,Some open problems in dynamical systems,https://zbmath.org/1184289,1998.0,open problems,links=https://doi.org/10.4171/dms/1-2/76|https://eudml.org/doc/233771|http://www.emis.de/10214
zbmath,5241050,Open problems around exact algorithms,https://zbmath.org/5241050,2008.0,open problems,links=https://doi.org/10.1016/j.dam.2007.03.023|https://research.tue.nl/nl/publications/9fa19af1-074d-42c0-93e8-8319ab964f74
zbmath,3551144,Implicit differential equations; some open problems,https://zbmath.org/3551144,1976.0,open problems,links=https://doi.org/10.1007/bfb0080503
zbmath,5657432,Open problems,https://zbmath.org/5657432,2009.0,open problems,links=nan
zbmath,24520,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/24520,1990.0,open problems,links=https://doi.org/10.2307/2323914
zbmath,1741583,Open problems on GKK \(\tau\)-matrices,https://zbmath.org/1741583,2002.0,open problems,links=https://doi.org/10.1016/S0024-3795(01)00492-X|https://arxiv.org/abs/math/0109030|http://www.mathematicsweb.org/pub/8/4/48/175/27/41/abstract.html
zbmath,6393679,Open problems in finite projective spaces,https://zbmath.org/6393679,2015.0,open problems,links=https://doi.org/10.1016/j.ffa.2014.10.006|https://biblio.ugent.be/publication/5819170/file/5819171
zbmath,3900593,"Reconstructability analysis: Aims, results, open problems",https://zbmath.org/3900593,1985.0,open problems,links=https://doi.org/10.1002/sres.3850020206
zbmath,5219607,Open problems in additive combinatorics,https://zbmath.org/5219607,2007.0,open problems,links=nan
zbmath,1698888,Projection algorithms: Results and open problems,https://zbmath.org/1698888,2001.0,open problems,links=nan
zbmath,806909,Open problems in computational algebraic geometry,https://zbmath.org/806909,1993.0,open problems,links=nan
zbmath,6315510,Open problems in differential geometry,https://zbmath.org/6315510,2013.0,open problems,links=nan
zbmath,6857139,Open problems in geometry and topology,https://zbmath.org/6857139,1999.0,open problems,links=https://doi.org/10.4310/CDM.1997.v1997.n1.a10
zbmath,3710708,On some open problems of approximation theory,https://zbmath.org/3710708,1980.0,open problems,links=https://doi.org/10.1016/0021-9045(80)90138-0
zbmath,475622,Open problems,https://zbmath.org/475622,1993.0,open problems,links=nan
zbmath,7631191,Open problems in rewriting,https://zbmath.org/7631191,1991.0,open problems,links=https://doi.org/10.1007/3-540-53904-2_120
zbmath,5380239,Open problems in symbolic dynamics,https://zbmath.org/5380239,2008.0,open problems,links=nan
zbmath,3527474,A generalisation of convexity; open problems,https://zbmath.org/3527474,1974.0,open problems,links=nan
zbmath,7363211,Some open problems in mathematical relativity,https://zbmath.org/7363211,2021.0,open problems,links=nan
zbmath,5987959,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/5987959,2011.0,open problems,links=https://doi.org/10.1080/10236198.2011.559468
zbmath,1643848,Quantum information theory: Results and open problems,https://zbmath.org/1643848,2000.0,open problems,links=nan
zbmath,3479732,Some open problems in differential geometry,https://zbmath.org/3479732,1975.0,open problems,links=nan
zbmath,125230,Some open problems in invariant theory,https://zbmath.org/125230,1992.0,open problems,links=nan
zbmath,579434,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/579434,1993.0,open problems,links=https://doi.org/10.2307/2324790
zbmath,1587304,Open problems in algebraic geometry,https://zbmath.org/1587304,2001.0,open problems,links=https://doi.org/10.1016/S0007-4497(00)01075-7
zbmath,3974023,Nearest particle systems: Results and open problems,https://zbmath.org/3974023,1986.0,open problems,links=https://doi.org/10.1007/bfb0076250
zbmath,6859277,On some open problems of number theory,https://zbmath.org/6859277,2018.0,open problems,links=https://doi.org/10.5486/PMD.2018.7983
zbmath,3565572,Some open problems in Banach space theory,https://zbmath.org/3565572,1977.0,open problems,links=http://www.numdam.org/item?id=SC_1975-1976__15__A6_0|https://eudml.org/doc/110546
zbmath,5245054,Euclidean random matrices: solved and open problems,https://zbmath.org/5245054,2006.0,open problems,links=https://arxiv.org/abs/cond-mat/0512004
zbmath,278880,Some open problems on permutation groups,https://zbmath.org/278880,1992.0,open problems,links=nan
zbmath,6479044,Open problems in coding theory,https://zbmath.org/6479044,2015.0,open problems,links=nan
zbmath,6447842,Open problems on binary bent functions,https://zbmath.org/6447842,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-10683-0_10
zbmath,829831,Four open problems in four dimensions,https://zbmath.org/829831,1991.0,open problems,links=nan
zbmath,1594452,Open problems on backward stochastic differential equations,https://zbmath.org/1594452,1999.0,open problems,links=nan
zbmath,5619323,Some open problems in analysis,https://zbmath.org/5619323,2009.0,open problems,links=http://ajmaa.org/cgi-bin/paper.pl?string=v6n1/V6I1P15.tex
zbmath,5605063,Isomorphism testing: perspective and open problems.,https://zbmath.org/5605063,2005.0,open problems,links=nan
zbmath,6962742,On some open problems in optimal control,https://zbmath.org/6962742,2018.0,open problems,links=https://doi.org/10.1007/978-3-319-75169-6_1
zbmath,682595,Computational geometry column 23: Open problems,https://zbmath.org/682595,1994.0,open problems,links=https://doi.org/10.1142/S0218195994000148
zbmath,1943955,Some open problems on homogeneous compacta,https://zbmath.org/1943955,2002.0,open problems,links=nan
zbmath,7389057,Advances and open problems in federated learning,https://zbmath.org/7389057,2021.0,open problems,links=https://doi.org/10.1561/2200000083
zbmath,3883928,Two open problems in precedence constrained scheduling,https://zbmath.org/3883928,1984.0,open problems,links=nan
zbmath,3941739,Thirty open problems concerning torsion theories,https://zbmath.org/3941739,1986.0,open problems,links=nan
zbmath,1967220,Open problems for tractability of multivariate integration.,https://zbmath.org/1967220,2003.0,open problems,links=https://doi.org/10.1016/S0885-064X(03)00016-5
zbmath,1241686,Some open problems in control theory,https://zbmath.org/1241686,1999.0,open problems,links=nan
zbmath,5910643,Open problems in logic and games,https://zbmath.org/5910643,2005.0,open problems,links=nan
zbmath,735673,Open problems in topology,https://zbmath.org/735673,1995.0,open problems,links=https://doi.org/10.1016/0166-8641(94)00092-H
zbmath,4120958,Some open problems in mathematical relativity,https://zbmath.org/4120958,1989.0,open problems,links=nan
zbmath,5873385,Open problems in real-time scheduling,https://zbmath.org/5873385,2010.0,open problems,links=https://doi.org/10.1007/s10951-009-0137-5
zbmath,900028284,Three open problems in analysis,https://zbmath.org/900028284,2006.0,open problems,links=https://arxiv.org/abs/math/0603631
zbmath,5721520,"Similarity: Generalizations, applications and open problems",https://zbmath.org/5721520,2010.0,open problems,links=https://doi.org/10.1007/s10665-009-9330-y
zbmath,4152777,Some open problems in geometric function theory,https://zbmath.org/4152777,1989.0,open problems,links=nan
zbmath,1156677,Open problems in finite fields,https://zbmath.org/1156677,1995.0,open problems,links=nan
zbmath,5673526,Open problems on syzygies and Hilbert functions,https://zbmath.org/5673526,2009.0,open problems,links=https://doi.org/10.1216/JCA-2009-1-1-159
zbmath,3822758,Some open problems in the theory of singularities,https://zbmath.org/3822758,1983.0,open problems,links=nan
zbmath,3501526,The foremost open problems in generalized Ramsey theory,https://zbmath.org/3501526,1976.0,open problems,links=nan
zbmath,2154259,Stochastic programming: achievements and open problems,https://zbmath.org/2154259,2001.0,open problems,links=nan
zbmath,1736020,Open problems in symmetry analysis.,https://zbmath.org/1736020,2001.0,open problems,links=nan
zbmath,5292675,Results and open problems in mathematical general relativity,https://zbmath.org/5292675,2007.0,open problems,links=https://doi.org/10.1007/s00032-007-0067-7
zbmath,6360739,Selected old open problems in general topology,https://zbmath.org/6360739,2013.0,open problems,links=http://www.math.md/publications/basm/issues/y2013-n2-3/11563/
zbmath,1785909,Eighteen open problems in \(C_p\)-theory,https://zbmath.org/1785909,1997.0,open problems,links=nan
zbmath,1421182,Open problems in combinatorial group theory,https://zbmath.org/1421182,1999.0,open problems,links=nan
zbmath,446985,Two open problems in graph theory,https://zbmath.org/446985,1993.0,open problems,links=nan
zbmath,7135328,Some open problems on multiple ergodic averages,https://zbmath.org/7135328,2016.0,open problems,links=https://arxiv.org/abs/1103.3808|http://bulletin.math.uoc.gr/vol/60/60-41-90.pdf
zbmath,5775120,Nicholson's blowflies differential equations revisited: main results and open problems,https://zbmath.org/5775120,2010.0,open problems,links=https://doi.org/10.1016/j.apm.2009.08.027
zbmath,5222931,Open problems in efficient semi-supervised PAC learning,https://zbmath.org/5222931,2007.0,open problems,links=https://doi.org/10.1007/978-3-540-72927-3_45|https://figshare.com/articles/journal_contribution/Open_Problems_in_Efficient_Semi-Supervised_PAC_Learning/6608075
zbmath,6894002,Open problems on countable dense homogeneity,https://zbmath.org/6894002,2018.0,open problems,links=https://doi.org/10.1016/j.topol.2018.03.023
zbmath,4073151,Vector bundles and geometry: Some open problems,https://zbmath.org/4073151,1988.0,open problems,links=nan
zbmath,6939534,"Open problems about regular languages, 35 years later",https://zbmath.org/6939534,2017.0,open problems,links=https://doi.org/10.1142/9789813148208_0007|https://hal.science/hal-01614375
zbmath,6531350,"Bootstrap algebraic multigrid: status report, open problems, and outlook",https://zbmath.org/6531350,2015.0,open problems,links=https://doi.org/10.4208/nmtma.2015.w06si|https://arxiv.org/abs/1406.1819
zbmath,3984602,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/3984602,1985.0,open problems,links=https://doi.org/10.1080/00207168508803447
zbmath,6490642,Some open problems about aspherical closed manifolds,https://zbmath.org/6490642,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-05254-0_3
zbmath,7189288,Some open problems on holomorphic foliation theory,https://zbmath.org/7189288,2020.0,open problems,links=https://doi.org/10.1007/s40306-018-00323-0|https://arxiv.org/abs/1807.05640
zbmath,2068125,Open problems,https://zbmath.org/2068125,2003.0,open problems,links=nan
zbmath,902581841,Some open problems on Coxeter groups and unimodality,https://zbmath.org/902581841,2024.0,open problems,links=https://arxiv.org/abs/2410.09897
zbmath,6073519,Recent progress and open problems in algorithmic convex geometry,https://zbmath.org/6073519,2010.0,open problems,links=https://doi.org/10.4230/LIPIcs.FSTTCS.2010.42|http://subs.emis.de/LIPIcs/frontdoor_9d86.html
zbmath,2156264,Open problems in the theory of scheduling,https://zbmath.org/2156264,2004.0,open problems,links=nan
zbmath,1700663,A few results and open problems regarding incompressible fluids.,https://zbmath.org/1700663,1995.0,open problems,links=nan
zbmath,6447841,Open problems on with-carry sequence generators,https://zbmath.org/6447841,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-10683-0_9
zbmath,5810606,Some open problems related to small divisors.,https://zbmath.org/5810606,2002.0,open problems,links=nan
zbmath,5944651,Some open problems in the theory of almost periodic functions,https://zbmath.org/5944651,2009.0,open problems,links=nan
zbmath,6447840,Open problems on the cross-correlation of \(m\)-sequences,https://zbmath.org/6447840,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-10683-0_8
zbmath,1418484,Algorithmic information theory: Open problems,https://zbmath.org/1418484,1998.0,open problems,links=nan
zbmath,1816766,"Flat systems: Open problems, infinite dimensional extension, symmetries and catalog",https://zbmath.org/1816766,2002.0,open problems,links=nan
zbmath,589295,Necessary and sufficient conditions for oscillation. Open problems and conjectures,https://zbmath.org/589295,1991.0,open problems,links=nan
zbmath,5711096,Open problems in the theory of non-uniform hyperbolicity,https://zbmath.org/5711096,2010.0,open problems,links=https://doi.org/10.3934/dcds.2010.27.589|https://arxiv.org/abs/1303.2375
zbmath,1642853,Sequences with good correlations and some open problems,https://zbmath.org/1642853,2001.0,open problems,links=nan
zbmath,1584738,Open problems on eigenvalues of the Laplacian.,https://zbmath.org/1584738,1999.0,open problems,links=nan
zbmath,3997233,Homogenization in mechanics. A survey of solved and open problems,https://zbmath.org/3997233,1986.0,open problems,links=nan
zbmath,900165910,Open problems and conjectures on submanifolds of finite type revisited,https://zbmath.org/900165910,2013.0,open problems,links=https://arxiv.org/abs/1307.6582
zbmath,3386317,Open problems in theory of metric linear spaces,https://zbmath.org/3386317,1972.0,open problems,links=http://www.numdam.org/item?id=MSMF_1972__31-32__327_0|https://eudml.org/doc/94627
zbmath,953225,Open problems and conjectures in finite fields,https://zbmath.org/953225,1996.0,open problems,links=nan
zbmath,3350019,Open problems in intersection theory.,https://zbmath.org/3350019,1971.0,open problems,links=https://doi.org/10.1007/bfb0066297
zbmath,6875285,Open problems,https://zbmath.org/6875285,2018.0,open problems,links=https://doi.org/10.1007/s40574-018-0158-0
zbmath,5148493,Open problems related to algebraic attacks on stream ciphers,https://zbmath.org/5148493,2006.0,open problems,links=https://doi.org/10.1007/11779360
zbmath,1241843,Open problems in the combinatorics of visibility and illumination,https://zbmath.org/1241843,1999.0,open problems,links=nan
zbmath,900139853,Open Problems in Analysis of Boolean Functions,https://zbmath.org/900139853,2012.0,open problems,links=https://arxiv.org/abs/1204.6447
zbmath,6192881,"The energy graph of the nonlinear Schrödinger equation, open problems",https://zbmath.org/6192881,2013.0,open problems,links=https://doi.org/10.1142/S021819671340016X
zbmath,5723799,Short-range spin glasses: selected open problems,https://zbmath.org/5723799,2006.0,open problems,links=https://doi.org/10.1016/S0924-8099(06)80043-0
zbmath,6200814,On plane geometric spanners: a survey and open problems,https://zbmath.org/6200814,2013.0,open problems,links=https://doi.org/10.1016/j.comgeo.2013.04.002|http://www.sciencedirect.com/science/article/pii/S0925772113000357
zbmath,5778154,Results and open problems on Hamiltonian labelings of graphs,https://zbmath.org/5778154,2009.0,open problems,links=nan
zbmath,3886740,On two open problems of contractive mappings,https://zbmath.org/3886740,1983.0,open problems,links=https://eudml.org/doc/117422|http://www.emis.de/22642
zbmath,2164033,Open problems in affine algebraic geometry,https://zbmath.org/2164033,2005.0,open problems,links=nan
