source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
aim,http://aimpl.org/stabmirror/,Stability in mirror symmetry,http://aimpl.org/stabmirror/,,,label=open problems | workshop_url=https://aimath.org/pastworkshops/stabmirror.html,http://aimpl.org/stabmirror/,http://aimpl.org/stabmirror/,aim_html,priority,aim page likely contains problem text directly,heuristic,,"[""http://aimpl.org/stabmirror/"", ""https://aimath.org/pastworkshops/stabmirror.html""]"
aim,https://aimath.org/WWN/confstruct/articles/html/30a/,"Conformal structure in geometry, analysis, and physics",https://aimath.org/WWN/confstruct/articles/html/30a/,,,label=Open problems | workshop_url=https://aimath.org/pastworkshops/confstruct.html,https://aimath.org/WWN/confstruct/articles/html/30a/,https://aimath.org/WWN/confstruct/articles/html/30a/,aim_html,priority,aim page likely contains problem text directly,heuristic,,"[""https://aimath.org/WWN/confstruct/articles/html/30a/"", ""https://aimath.org/pastworkshops/confstruct.html""]"
core,334925767,A small collection of open problems,http://arxiv.org/abs/2003.11441,2020.0,"""collection of open problems""",doi=nan | publisher=nan,http://arxiv.org/abs/2003.11441,https://arxiv.org/pdf/2003.11441.pdf,arxiv_pdf,priority,core has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/2003.11441""]"
core,42658455,Some recent results and open problems on sets of lengths of Krull monoids with finite class group,http://arxiv.org/abs/1511.08080,2015.0,"""open problems"" survey",doi=nan | publisher=nan,http://arxiv.org/abs/1511.08080,https://arxiv.org/pdf/1511.08080.pdf,arxiv_pdf,priority,core has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1511.08080""]"
crossref,10.24425/ather.2020.133633,Energy efficiency – selected thermo-ecological problems,https://doi.org/10.24425/ather.2020.133633,2020.0,selected open problems,container=Archives of Thermodynamics | subjects=nan,https://doi.org/10.24425/ather.2020.133633,https://doi.org/10.24425/ather.2020.133633,doi,second_tier,crossref is DOI/landing-page first,heuristic,,"[""https://doi.org/10.24425/ather.2020.133633""]"
crossref,10.3390/universe7080273,The Swampland Conjectures: A Bridge from Quantum Gravity to Particle Physics,https://doi.org/10.3390/universe7080273,2021.0,problems and conjectures,container=Universe | subjects=nan,https://doi.org/10.3390/universe7080273,https://doi.org/10.3390/universe7080273,doi,second_tier,crossref is DOI/landing-page first,heuristic,,"[""https://doi.org/10.3390/universe7080273""]"
dblp,journals/corr/KatzL14a,New Open Problems Related to Old Conjectures by Helleseth.,http://arxiv.org/abs/1412.8530,2014.0,open problems,venue=CoRR | doi=nan,http://arxiv.org/abs/1412.8530,https://arxiv.org/pdf/1412.8530.pdf,arxiv_pdf,priority,dblp has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1412.8530""]"
dblp,journals/corr/abs-1903-11041,Blockchain Solutions for Multi-Agent Robotic Systems: Related Work and Open Questions.,http://arxiv.org/abs/1903.11041,2019.0,open questions,venue=CoRR | doi=nan,http://arxiv.org/abs/1903.11041,https://arxiv.org/pdf/1903.11041.pdf,arxiv_pdf,priority,dblp has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1903.11041""]"
ddg,https://arxiv.org/pdf/1810.02982,Oberwolfach problem - arXiv.org,https://arxiv.org/pdf/1810.02982,,open problems Oberwolfach pdf,,https://arxiv.org/pdf/1810.02982,https://arxiv.org/pdf/1810.02982.pdf,arxiv_pdf,priority,ddg has direct arxiv_pdf,heuristic,,"[""https://arxiv.org/pdf/1810.02982""]"
ddg,https://arxiv.org/abs/2005.05343,[2005.05343] Intrinsic sign problems in topological quantum,https://arxiv.org/abs/2005.05343,,open problems in low dimensional topology pdf,,https://arxiv.org/abs/2005.05343,https://arxiv.org/pdf/2005.05343.pdf,arxiv_pdf,priority,ddg has direct arxiv_pdf,heuristic,,"[""https://arxiv.org/abs/2005.05343""]"
