source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
zbmath,1187013,Some open problems in the theory of subnormal operators,https://zbmath.org/1187013,1998.0,open problems,links=http://www.msri.org/communications/books/Book33/,https://zbmath.org/1187013,https://zbmath.org/1187013,zbmath_metadata,second_tier,zbmath had no arxiv/pdf candidate,api_ok_no_full_text_candidate,,"[""http://www.msri.org/communications/books/Book33/""]"
zbmath,2037246,Open problems in topology.,https://zbmath.org/2037246,2004.0,open problems,links=https://doi.org/10.1016/S0166-8641(03)00183-4,https://zbmath.org/2037246,https://doi.org/10.1016/S0166-8641(03)00183-4,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1016/S0166-8641(03)00183-4""]"
zbmath,6073501,Homogenization of nonlinear partial differential equations in the context of ergodic algebras: recent results and open problems,https://zbmath.org/6073501,2011.0,open problems,links=https://doi.org/10.1007/978-1-4419-9554-4_14,https://zbmath.org/6073501,https://doi.org/10.1007/978-1-4419-9554-4_14,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1007/978-1-4419-9554-4_14""]"
zbmath,6482228,\(E\)-super vertex magic labelling of graphs and some open problems,https://zbmath.org/6482228,2015.0,open problems,links=nan,https://zbmath.org/6482228,https://zbmath.org/6482228,zbmath_metadata,second_tier,zbmath had no arxiv/pdf candidate,api_ok,,[]
zbmath,1569037,Matrix structures for image applications: Some examples and open problems,https://zbmath.org/1569037,2000.0,open problems,links=nan,https://zbmath.org/1569037,https://zbmath.org/1569037,zbmath_metadata,second_tier,zbmath had no arxiv/pdf candidate,api_ok,,[]
zbmath,5073336,Solutions to Cintula's open problems,https://zbmath.org/5073336,2006.0,open problems,links=https://doi.org/10.1016/j.fss.2006.03.021,https://zbmath.org/5073336,https://doi.org/10.1016/j.fss.2006.03.021,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1016/j.fss.2006.03.021""]"
zbmath,7542824,Open problems in refined mean field approximations,https://zbmath.org/7542824,2022.0,open problems,links=https://doi.org/10.1007/s11134-022-09756-9,https://zbmath.org/7542824,https://doi.org/10.1007/s11134-022-09756-9,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1007/s11134-022-09756-9""]"
zbmath,1690173,"Traffic analysis: protocols, attacks, design issues, and open problems",https://zbmath.org/1690173,2001.0,open problems,links=https://doi.org/10.1007/3-540-44702-4_2,https://zbmath.org/1690173,https://doi.org/10.1007/3-540-44702-4_2,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1007/3-540-44702-4_2""]"
zbmath,6687188,Applications of search in biology: some open problems,https://zbmath.org/6687188,2013.0,open problems,links=https://doi.org/10.1007/978-1-4614-6825-7_18,https://zbmath.org/6687188,https://doi.org/10.1007/978-1-4614-6825-7_18,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1007/978-1-4614-6825-7_18""]"
zbmath,8055417,A study on turbulence and open problems for a damped Navier-Stokes equation,https://zbmath.org/8055417,2025.0,open problems,links=https://doi.org/10.1007/s41808-025-00327-6,https://zbmath.org/8055417,https://doi.org/10.1007/s41808-025-00327-6,doi,second_tier,zbmath resolved only to DOI/landing page,api_ok,,"[""https://doi.org/10.1007/s41808-025-00327-6""]"
zbmath,38494,Open problems in the representation theory of finite groups,https://zbmath.org/38494,1992.0,open problems,links=nan,https://zbmath.org/38494,https://zbmath.org/38494,zbmath_metadata,second_tier,zbmath had no arxiv/pdf candidate,api_ok,,[]
