source,source_id,title,url,year,phrase,extra
aim,http://aimpl.org/stabmirror/,Stability in mirror symmetry,http://aimpl.org/stabmirror/,,,label=open problems | workshop_url=https://aimath.org/pastworkshops/stabmirror.html | original_url=http://aimpl.org/stabmirror/ | target_kind=aim_html
aim,https://aimath.org/WWN/confstruct/articles/html/30a/,"Conformal structure in geometry, analysis, and physics",https://aimath.org/WWN/confstruct/articles/html/30a/,,,label=Open problems | workshop_url=https://aimath.org/pastworkshops/confstruct.html | original_url=https://aimath.org/WWN/confstruct/articles/html/30a/ | target_kind=aim_html
core,334925767,A small collection of open problems,https://arxiv.org/pdf/2003.11441.pdf,2020.0,"""collection of open problems""",doi=nan | publisher=nan | original_url=http://arxiv.org/abs/2003.11441 | target_kind=arxiv_pdf
core,42658455,Some recent results and open problems on sets of lengths of Krull monoids with finite class group,https://arxiv.org/pdf/1511.08080.pdf,2015.0,"""open problems"" survey",doi=nan | publisher=nan | original_url=http://arxiv.org/abs/1511.08080 | target_kind=arxiv_pdf
crossref,10.24425/ather.2020.133633,Energy efficiency – selected thermo-ecological problems,https://doi.org/10.24425/ather.2020.133633,2020.0,selected open problems,container=Archives of Thermodynamics | subjects=nan | original_url=https://doi.org/10.24425/ather.2020.133633 | target_kind=doi
crossref,10.3390/universe7080273,The Swampland Conjectures: A Bridge from Quantum Gravity to Particle Physics,https://doi.org/10.3390/universe7080273,2021.0,problems and conjectures,container=Universe | subjects=nan | original_url=https://doi.org/10.3390/universe7080273 | target_kind=doi
dblp,journals/corr/KatzL14a,New Open Problems Related to Old Conjectures by Helleseth.,https://arxiv.org/pdf/1412.8530.pdf,2014.0,open problems,venue=CoRR | doi=nan | original_url=http://arxiv.org/abs/1412.8530 | target_kind=arxiv_pdf
dblp,journals/corr/abs-1903-11041,Blockchain Solutions for Multi-Agent Robotic Systems: Related Work and Open Questions.,https://arxiv.org/pdf/1903.11041.pdf,2019.0,open questions,venue=CoRR | doi=nan | original_url=http://arxiv.org/abs/1903.11041 | target_kind=arxiv_pdf
ddg,https://arxiv.org/pdf/1810.02982,Oberwolfach problem - arXiv.org,https://arxiv.org/pdf/1810.02982.pdf,,open problems Oberwolfach pdf,original_url=https://arxiv.org/pdf/1810.02982 | target_kind=arxiv_pdf
ddg,https://arxiv.org/abs/2005.05343,[2005.05343] Intrinsic sign problems in topological quantum,https://arxiv.org/pdf/2005.05343.pdf,,open problems in low dimensional topology pdf,original_url=https://arxiv.org/abs/2005.05343 | target_kind=arxiv_pdf
hal,hal-05519464,Open problems in billiards and quantitative symplectic geometry,https://hal.science/hal-05519464v1/document,2026.0,open problems,doi=10.48550/arXiv.2602.12896 | arxiv=2602.12896 | doctype=UNDEFINED | original_url=https://hal.science/hal-05519464v1 | target_kind=hal_document
hal,hal-03082219,Open Data for Open Questions in Comparative Nutrition,https://hal.science/hal-03082219v1/document,2020.0,open questions,doi=10.3390/insects11040236 | arxiv=nan | doctype=ART | original_url=https://hal.science/hal-03082219v1 | target_kind=hal_document
mathoverflow,271981,Are there topological versions of the idea of divisor?,https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor,,soft-question,score=35 | tags=ag.algebraic-geometry|at.algebraic-topology|soft-question|divisors|duality | original_url=https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor | target_kind=mathoverflow_html
mathoverflow,73001,Is there a smooth $4$-manifold homeomorphic but not diffemorphic to $CP^2$?,https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2,,open-problems,score=11 | tags=gt.geometric-topology|4-manifolds|differential-topology|open-problems | original_url=https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2 | target_kind=mathoverflow_html
openalex,https://openalex.org/W2773696207,Open Problem Statement: Minimal Distortion Embeddings of Diversities in $\ell_1$,https://arxiv.org/pdf/1712.01960.pdf,2017.0,open problems,doi=https://doi.org/10.48550/arxiv.1712.01960 | source=arXiv (Cornell University) | original_url=http://arxiv.org/abs/1712.01960 | target_kind=arxiv_pdf
openalex,https://openalex.org/W1571772473,Extra extension properties of equidimensional holomorphic mappings: results and open questions,https://arxiv.org/pdf/0810.4588.pdf,2008.0,open questions,doi=https://doi.org/10.48550/arxiv.0810.4588 | source=ArXiv.org | original_url=http://arxiv.org/abs/0810.4588 | target_kind=arxiv_pdf
zbmath,6435926,Bubbling solutions for supercritical problems on manifolds,https://arxiv.org/pdf/1403.2513.pdf,2015.0,problems on,links=https://doi.org/10.1016/j.matpur.2014.11.004|https://arxiv.org/abs/1403.2513 | original_url=https://zbmath.org/6435926 | target_kind=arxiv_pdf
zbmath,7741152,Sharp Morrey-Sobolev inequalities and eigenvalue problems on Riemannian-Finsler manifolds with nonnegative Ricci curvature,https://arxiv.org/pdf/2107.00512.pdf,2023.0,problems on,links=https://doi.org/10.1142/S0219199722500638|https://arxiv.org/abs/2107.00512|http://real.mtak.hu/151684/1/KMM-Morrey-Sobolev-Hardy.pdf | original_url=https://zbmath.org/7741152 | target_kind=arxiv_pdf
