source,source_id,title,url,year,phrase,extra
zbmath,1187013,Some open problems in the theory of subnormal operators,https://zbmath.org/1187013,1998.0,open problems,links=http://www.msri.org/communications/books/Book33/ | original_url=https://zbmath.org/1187013 | target_kind=zbmath_metadata
zbmath,2037246,Open problems in topology.,https://doi.org/10.1016/S0166-8641(03)00183-4,2004.0,open problems,links=https://doi.org/10.1016/S0166-8641(03)00183-4 | original_url=https://zbmath.org/2037246 | target_kind=doi
zbmath,6073501,Homogenization of nonlinear partial differential equations in the context of ergodic algebras: recent results and open problems,https://doi.org/10.1007/978-1-4419-9554-4_14,2011.0,open problems,links=https://doi.org/10.1007/978-1-4419-9554-4_14 | original_url=https://zbmath.org/6073501 | target_kind=doi
zbmath,6482228,\(E\)-super vertex magic labelling of graphs and some open problems,https://zbmath.org/6482228,2015.0,open problems,links=nan | original_url=https://zbmath.org/6482228 | target_kind=zbmath_metadata
zbmath,1569037,Matrix structures for image applications: Some examples and open problems,https://zbmath.org/1569037,2000.0,open problems,links=nan | original_url=https://zbmath.org/1569037 | target_kind=zbmath_metadata
zbmath,5073336,Solutions to Cintula's open problems,https://doi.org/10.1016/j.fss.2006.03.021,2006.0,open problems,links=https://doi.org/10.1016/j.fss.2006.03.021 | original_url=https://zbmath.org/5073336 | target_kind=doi
zbmath,7542824,Open problems in refined mean field approximations,https://doi.org/10.1007/s11134-022-09756-9,2022.0,open problems,links=https://doi.org/10.1007/s11134-022-09756-9 | original_url=https://zbmath.org/7542824 | target_kind=doi
zbmath,1690173,"Traffic analysis: protocols, attacks, design issues, and open problems",https://doi.org/10.1007/3-540-44702-4_2,2001.0,open problems,links=https://doi.org/10.1007/3-540-44702-4_2 | original_url=https://zbmath.org/1690173 | target_kind=doi
zbmath,6687188,Applications of search in biology: some open problems,https://doi.org/10.1007/978-1-4614-6825-7_18,2013.0,open problems,links=https://doi.org/10.1007/978-1-4614-6825-7_18 | original_url=https://zbmath.org/6687188 | target_kind=doi
zbmath,8055417,A study on turbulence and open problems for a damped Navier-Stokes equation,https://doi.org/10.1007/s41808-025-00327-6,2025.0,open problems,links=https://doi.org/10.1007/s41808-025-00327-6 | original_url=https://zbmath.org/8055417 | target_kind=doi
zbmath,38494,Open problems in the representation theory of finite groups,https://zbmath.org/38494,1992.0,open problems,links=nan | original_url=https://zbmath.org/38494 | target_kind=zbmath_metadata
zbmath,600237,Some open problems in the design and use of modern production systems,https://doi.org/10.1002/asm.3150070105,1991.0,open problems,links=https://doi.org/10.1002/asm.3150070105|http://hdl.handle.net/1903/5193 | original_url=https://zbmath.org/600237 | target_kind=doi
zbmath,1531927,Independence results from ZFC in computability theory: Some open problems,https://zbmath.org/1531927,2000.0,open problems,links=nan | original_url=https://zbmath.org/1531927 | target_kind=zbmath_metadata
zbmath,7542819,Open problems for critically loaded \(k\)-limited polling systems,https://doi.org/10.1007/s11134-022-09770-x,2022.0,open problems,links=https://doi.org/10.1007/s11134-022-09770-x|https://research.tue.nl/nl/publications/da72cbcb-9f72-4d4f-a034-3155d6ad2c32 | original_url=https://zbmath.org/7542819 | target_kind=doi
