global_index,source_json,paper_id,paper_title,paper_link,question_link,question_id,parser_is_solved,context_brief,original_question,self_contained_problem,macro_subject,category_tag,open_status,status_search_result,status_evidence,status_evidence_urls,confidence,validation_warnings,model,effort,elapsed_s,checkpoint_path,solved_years,solved_year_max
1146,outputs/parse-paper/1401.0300.json,1401.0300,,https://arxiv.org/abs/1401.0300,https://arxiv.org/pdf/1401.0300.pdf#page=163,q_008,False,2026 Kourovka Notebook new problems,"As in 17.57, let r(m) = {r + km | k ∈ Z} for integers 0 ⩽ r < m; for r1(m1) ∩ r2(m2) = ∅ let the class transposition τr1(m1),r2(m2) be the involution which interchanges r1 + tm1 and r2 + tm2 for each integer t and fixes everything else, and let CT(Z) be the group generated by all class transpositions. Let CTk be the subgroup of CT(Z) generated by the class transpositions τr1(k),r2(k) for 0 ⩽ r1 ̸= r2 < k. Since τr1(k),r2(k) permutes the residue classes modulo k, the group CTk is isomorphic to the symmetric group Sk. Let CT(k) = ⟨CT2, CT3,..., CTk ⟩. Is it true that for k > 3 the group CT(k) is isomorphic to the symmetric group SN, where N is the least common multiple of the numbers 2, 3,..., k?","For integers $0 \le r < m$, let $r(m) = \{r + km \mid k \in \mathbb{Z}\}$ denote the residue class $r$ modulo $m$. Given two disjoint residue classes $r_1(m_1)$ and $r_2(m_2)$ (i.e. $r_1(m_1) \cap r_2(m_2) = \emptyset$), define the class transposition $\tau_{r_1(m_1),\,r_2(m_2)} : \mathbb{Z} \to \mathbb{Z}$ to be the involution that interchanges $r_1 + t m_1$ with $r_2 + t m_2$ for each $t \in \mathbb{Z}$ and fixes every other integer. Let $\mathrm{CT}(\mathbb{Z})$ be the subgroup of the symmetric group on $\mathbb{Z}$ generated by all such class transpositions.

For an integer $k \ge 2$, let
$$\mathrm{CT}_k = \langle \tau_{r_1(k),\,r_2(k)} \mid 0 \le r_1 \ne r_2 < k \rangle \le \mathrm{CT}(\mathbb{Z}).$$
Since each generator permutes the $k$ residue classes modulo $k$ and acts as the corresponding transposition on these classes, $\mathrm{CT}_k \cong S_k$. Define
$$\mathrm{CT}^{(k)} = \langle \mathrm{CT}_2,\, \mathrm{CT}_3,\, \ldots,\, \mathrm{CT}_k \rangle.$$

Prove or disprove: for every integer $k > 3$,
$$\mathrm{CT}^{(k)} \cong S_N, \qquad \text{where } N = \mathrm{lcm}(2, 3, \ldots, k).$$",Algebra,class transposition groups,solved,"A 2026 preprint by Junyao Pan (""A note on the horizontal class transposition group"", arXiv:2604.12553) claims to resolve the Bardakov–Iskra conjecture, proving that for $n > 3$, $\mathrm{CT}^{(n)} \cong S_N$ with $N = \mathrm{lcm}(2,3,\ldots,n)$.","[{""title"": ""A note on the horizontal class transposition group"", ""url"": ""https://arxiv.org/abs/2604.12553"", ""snippet"": ""For n>3, CT_{(n)} ≅ S_N, where S_N is the symmetric group of degree N = lcm(2,...,n). Thus, we solve a conjecture proposed by Bardakov and Iskra, which has been included in the Kourovka Notebook."", ""claim"": ""The conjecture is proved in this preprint.""}]",https://arxiv.org/abs/2604.12553,0.8,,opus,medium,31.76,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001146__1401.0300__q_008__96734fe2b8e8.json,[2026],2026.0
791,outputs/parse-paper/1205.6103.json,1205.6103,,https://arxiv.org/abs/1205.6103,https://arxiv.org/pdf/1205.6103.pdf#page=9,q_011,False,Volume minimum at Fuchsian locus,"Among globally hyperbolic maximal compact anti-de Sitter 3-manifolds, is the total volume V(M) minimized exactly at the Fuchsian locus?","Let $S$ be a closed oriented surface of genus $g \geq 2$, and let $M$ be a globally hyperbolic maximal Cauchy-compact (GHMC) anti-de Sitter 3-manifold homeomorphic to $S \times \mathbb{R}$. Such manifolds form a deformation space parameterized (by the Mess theorem) by pairs of points in the Teichmüller space $\mathcal{T}(S) \times \mathcal{T}(S)$; the diagonal $\{(X,X) : X \in \mathcal{T}(S)\}$ is called the Fuchsian locus, and consists of those $M$ that contain a totally geodesic spacelike Cauchy surface. Let $V(M)$ denote the total Lorentzian volume of $M$ (which is finite for GHMC AdS 3-manifolds). 

Prove or disprove: among all GHMC anti-de Sitter 3-manifolds $M$ with underlying surface $S$, the volume $V(M)$ attains its minimum precisely on the Fuchsian locus, and this minimum value equals $\pi^2 |\chi(S)|$.",Geometry,Anti-de Sitter 3-manifolds,solved,"A 2026 preprint by Mondello and Tholozan (""Minimizing the volume of globally hyperbolic anti-de Sitter 3-manifolds"", arXiv:2602.14806) proves that the volume of a GHMC anti-de Sitter 3-manifold $M$ is at least $\pi^2 |\chi(M)|$, with equality if and only if $M$ is Fuchsian, settling the question affirmatively.","[{""title"": ""Minimizing the volume of globally hyperbolic anti-de Sitter 3-manifolds"", ""url"": ""https://arxiv.org/abs/2602.14806"", ""snippet"": ""The volume of a maximal globally hyperbolic Cauchy-compact anti-de Sitter 3-manifold M is at least π²|χ(M)|, and this minimum value is attained if and only if M is Fuchsian."", ""claim"": ""Volume is minimized exactly on the Fuchsian locus.""}, {""title"": ""On the volume of Anti-de Sitter maximal globally hyperbolic three-manifolds"", ""url"": ""https://link.springer.com/article/10.1007/s00039-017-0423-x"", ""snippet"": ""Earlier work establishing volume bounds for GHMC AdS 3-manifolds."", ""claim"": ""Prior partial results on volume estimates motivating the question.""}]",https://arxiv.org/abs/2602.14806 https://link.springer.com/article/10.1007/s00039-017-0423-x,0.85,,opus,medium,50.8,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000791__1205.6103__q_011__6f22d4021f3a.json,[2026],2026.0
1496,outputs/parse-paper/1205.6103.json,1205.6103,Some Open Questions on Anti-de Sitter Geometry,https://arxiv.org/abs/1205.6103,https://arxiv.org/pdf/1205.6103.pdf#page=9,q_011,False,Volume minimum at Fuchsian locus,Is the total volume V(M) of a globally hyperbolic maximal compact anti-de Sitter manifold minimized at the Fuchsian locus?,"Let S be a closed orientable surface of genus g ≥ 2. A globally hyperbolic maximal compact (GHMC) anti-de Sitter 3-manifold is a Lorentzian 3-manifold M of constant sectional curvature −1, diffeomorphic to S × ℝ, that contains a closed spacelike Cauchy surface and is maximal (with respect to inclusion) among such manifolds. By a theorem of Mess, the moduli space of GHMC anti-de Sitter structures on S × ℝ is parametrized by Teich(S) × Teich(S), where Teich(S) is the Teichmüller space of S; the diagonal {(X,X) : X ∈ Teich(S)} is called the Fuchsian locus, consisting of those manifolds whose holonomy preserves a totally geodesic spacelike plane.

Each GHMC anti-de Sitter manifold M has a finite total volume V(M) (defined, e.g., as the volume of its convex core or, equivalently up to convention, the volume bounded by appropriate Cauchy surfaces in a canonical way).

Question: Is V(M) minimized over the moduli space of GHMC anti-de Sitter structures on S × ℝ precisely at (and only at) the Fuchsian locus?",Geometry,Anti-de Sitter geometry,solved,"A 2026 preprint by Mondello and Tholozan, ""Minimizing the volume of globally hyperbolic anti-de Sitter 3-manifolds"" (arXiv:2602.14806), proves that the volume of a maximal globally hyperbolic Cauchy-compact anti-de Sitter 3-manifold is at least π²|χ(S)|, with equality if and only if the manifold is Fuchsian, thus answering the question affirmatively. Earlier partial results (e.g., Bonsante–Seppi, GAFA 2017) had established related bounds and local rigidity near the Fuchsian locus.","[{""title"": ""Minimizing the volume of globally hyperbolic anti-de Sitter 3-manifolds"", ""url"": ""https://arxiv.org/abs/2602.14806"", ""snippet"": ""The volume of a maximal globally hyperbolic Cauchy-compact anti-de Sitter 3-manifold is at least π²|χ(M)|, with equality iff Fuchsian."", ""claim"": ""Affirmative resolution: the volume is minimized exactly at the Fuchsian locus.""}, {""title"": ""On the volume of Anti-de Sitter maximal globally hyperbolic three-manifolds"", ""url"": ""https://link.springer.com/article/10.1007/s00039-017-0423-x"", ""snippet"": ""Bonsante–Seppi establish bounds on the volume of GHMC AdS 3-manifolds."", ""claim"": ""Earlier partial progress on volume bounds for GHMC AdS manifolds.""}, {""title"": ""Rigidity of anti-de Sitter (2+1)-spacetimes with convex boundary near the Fuchsian locus"", ""url"": ""https://arxiv.org/abs/2502.01599"", ""snippet"": ""Local rigidity results near the Fuchsian locus."", ""claim"": ""Local minimization-type rigidity near the Fuchsian locus is known.""}]",https://arxiv.org/abs/2602.14806 https://link.springer.com/article/10.1007/s00039-017-0423-x https://arxiv.org/abs/2502.01599,0.78,,opus,medium,29.82,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001496__1205.6103__q_011__fbca2f20fbc8.json,"[2025, 2026]",2026.0
1181,outputs/parse-paper/1401.0300.json,1401.0300,,https://arxiv.org/abs/1401.0300,https://arxiv.org/pdf/1401.0300.pdf#page=168,q_043,True,2026 Kourovka Notebook new problems,Conjecture: Suppose that for a fixed positive integer k at least half of the elements of a finite group G have order k. Then G is solvable.,Let $G$ be a finite group and let $k$ be a fixed positive integer. Suppose that the number of elements of $G$ of order exactly $k$ is at least $|G|/2$. Prove or disprove: $G$ must be solvable.,Algebra,Finite group solvability criteria,solved,"Recent work shows the conjecture as stated is false in general: counterexamples exist, and for every k>1 one can find finite non-solvable groups in which a positive proportion (at least 2/15) of elements have order k. The conjecture does hold in special cases (e.g., k a prime power, or k ∈ {2,3,4}), with classical results of Liebeck–MacHale covering the involution case.","[{""title"": ""Finite groups with many elements of the same order"", ""url"": ""https://arxiv.org/abs/2602.19340"", ""snippet"": ""The original conjecture fails by presenting counterexamples; for all k>1 there exists a finite non-soluble group with at least 2/15 of its elements of order k."", ""claim"": ""The conjecture is disproved in general, though it holds for certain k (prime powers, k=2,3,4).""}]",https://arxiv.org/abs/2602.19340,0.8,,opus,medium,36.18,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001181__1401.0300__q_043__573caa84d862.json,[2026],2026.0
538,outputs/parse-paper/1103.3808.json,1103.3808,,https://arxiv.org/abs/1103.3808,https://arxiv.org/pdf/1103.3808.pdf#page=24,q_016,False,pointwise convergence with arithmetic weights,"Let (X, X, µ, T) be a system and f, g ∈ L∞(µ). If Λ is the von Mangoldt function and φ is a multiplicative function with values in the closed unit disk that has convergent means, do the weighted averages (1/N) Σ Λ(n) f(T^n x) g(T^{2n} x) and (1/N) Σ φ(n) f(T^n x) g(T^{2n} x) converge pointwise almost everywhere?","Let $(X,\mathcal{X},\mu,T)$ be a measure-preserving system, where $T:X\to X$ is an invertible measure-preserving transformation on a probability space $(X,\mathcal{X},\mu)$. Let $f,g\in L^\infty(\mu)$.

Let $\Lambda$ denote the von Mangoldt function, defined by $\Lambda(n)=\log p$ if $n=p^k$ for some prime $p$ and integer $k\ge 1$, and $\Lambda(n)=0$ otherwise.

Let $\varphi:\mathbb{N}\to\mathbb{C}$ be a multiplicative function (i.e. $\varphi(mn)=\varphi(m)\varphi(n)$ whenever $\gcd(m,n)=1$) with $|\varphi(n)|\le 1$ for all $n$, and assume that $\varphi$ has convergent mean, i.e. the limit
$$\lim_{N\to\infty}\frac{1}{N}\sum_{n=1}^{N}\varphi(n)$$
exists in $\mathbb{C}$.

Prove or disprove: for $\mu$-almost every $x\in X$, both of the weighted bilinear ergodic averages
$$\frac{1}{N}\sum_{n=1}^{N}\Lambda(n)\,f(T^n x)\,g(T^{2n} x)\qquad\text{and}\qquad \frac{1}{N}\sum_{n=1}^{N}\varphi(n)\,f(T^n x)\,g(T^{2n} x)$$
converge as $N\to\infty$.",PDEs and Dynamical Systems,weighted multiple ergodic averages,solved,"Recent work has resolved this problem. A 2026 preprint on bilinear ergodic averages with arithmetic weights explicitly states it resolves Problem 12 of Frantzikinakis' survey, proving almost sure convergence of $\frac{1}{N}\sum_{n\le N} w(n) T^{an}f\cdot T^{bn}g$ for $a,b\in\mathbb{Z}$ where $w$ is the von Mangoldt function. A 2024 preprint also established pointwise a.e. convergence for Möbius-weighted (and more general multiplicative) bilinear averages with $P_1(n)=n$, $P_2(n)=2n$, again citing the resolution of Frantzikinakis' problem.","[{""title"": ""Double Recurrence and Almost Sure Convergence: Primes and Weighted Theory"", ""url"": ""https://arxiv.org/abs/2603.22203"", ""snippet"": ""bilinear ergodic averages 1/N Σ_{n ≤ N} w(n) T^{an}f · T^{bn}g, a,b ∈ ℤ ... resolves Problem 12 from Frantzikinakis' survey"", ""claim"": ""Resolves Problem 12 of Frantzikinakis (von Mangoldt-weighted bilinear case).""}, {""title"": ""Pointwise convergence of ergodic averages with Möbius weight"", ""url"": ""https://arxiv.org/abs/2401.03174"", ""snippet"": ""pointwise a.e. convergence for Möbius-weighted polynomial multiple ergodic averages ... specializing to P_1(y)=y and P_2(y)=2y solves a problem of Frantzikinakis"", ""claim"": ""Resolves the multiplicative-weight case for the (n, 2n) bilinear average.""}]",https://arxiv.org/abs/2603.22203 https://arxiv.org/abs/2401.03174,0.78,,opus,medium,49.55,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000538__1103.3808__q_016__9b656cfc0c5b.json,"[2024, 2026]",2026.0
919,outputs/parse-paper/1004.3259.json,1004.3259,Open problems (for AGNES),https://zbmath.org/900090306,https://zbmath.org/900090306,q_007,False,Picard group of polarized K3 moduli,Let M_{2n}^{K3} be the moduli space of polarized K3 surfaces of degree 2n. Do the Noether–Lefschetz divisors span the rational Picard group Pic(M_{2n}^{K3}) ⊗_Z Q?,"Let $n$ be a positive integer, and let $\mathcal{M}^{K3}_{2n}$ denote the moduli space of complex polarized K3 surfaces of degree $2n$, i.e., pairs $(X,L)$ where $X$ is a smooth complex K3 surface and $L$ is a primitive ample line bundle on $X$ with $L\cdot L = 2n$. For each pair of integers $(h,d)$ with $h\geq 1$ and $d>0$ satisfying suitable admissibility conditions, the Noether–Lefschetz locus $D_{h,d}\subset \mathcal{M}^{K3}_{2n}$ parameterizes those polarized K3 surfaces $(X,L)$ whose Picard lattice has rank at least $2$ and contains a class $\beta$ with $\beta\cdot\beta = 2h-2$ and $\beta\cdot L = d$; each such locus is a divisor (a Noether–Lefschetz divisor) on $\mathcal{M}^{K3}_{2n}$. Question: Do the classes of the Noether–Lefschetz divisors $D_{h,d}$ span the rational Picard group $\mathrm{Pic}(\mathcal{M}^{K3}_{2n})\otimes_{\mathbb{Z}}\mathbb{Q}$?",Geometry,Noether-Lefschetz divisors on K3 moduli,solved,"The Maulik–Pandharipande conjecture that Noether–Lefschetz divisors span the rational Picard group of the moduli space of polarized K3 surfaces of degree 2n was proved by Bergeron–Li–Millson–Moeglin (""The Noether–Lefschetz conjecture and generalizations"", Invent. Math. 2017). Generalizations to orthogonal modular varieties (Heegner divisors generating the rational Picard group) have since been established by Bruinier–Möller and Bruinier–Zuffetti, and explicit finite generation results have appeared more recently.","[{""title"": ""The Noether-Lefschetz conjecture and generalizations"", ""url"": ""https://link.springer.com/article/10.1007/s00222-016-0695-z"", ""snippet"": ""Bergeron, Li, Millson, Moeglin prove the Noether–Lefschetz conjecture for the moduli of polarized K3 surfaces."", ""claim"": ""The conjecture that Noether–Lefschetz divisors span the rational Picard group of M^{K3}_{2n} has been proved.""}, {""title"": ""Finite generation of Noether-Lefschetz divisors and the slope of the moduli space of cubic fourfolds"", ""url"": ""https://arxiv.org/abs/2602.08463"", ""snippet"": ""Recent work giving explicit finite generation of the rational Picard group by Noether–Lefschetz divisors of bounded discriminant."", ""claim"": ""Subsequent work has refined the result to show finite generation by NL divisors of bounded discriminant.""}]",https://link.springer.com/article/10.1007/s00222-016-0695-z https://arxiv.org/abs/2602.08463,0.9,,opus,medium,31.82,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000919__1004.3259__q_007__d94fcde9a34d.json,[2026],2026.0
36,outputs/parse-paper/0708.1902.json,0708.1902,Open Problems in Quantum Information Theory,https://arxiv.org/abs/0708.1902,https://arxiv.org/pdf/0708.1902.pdf#page=11,q_016,False,Pairwise Rényi-additivity near p=1,"For any fixed pair of quantum channels Φ and Ω, does there exist a number p* > 0 such that additivity of minimal output Rényi entropy, S^p_min(Φ ⊗ Ω) = S^p_min(Φ) + S^p_min(Ω), holds either for every p in an interval (p*,1) with p* < 1 or for every p in an interval (1,p*) with p* > 1?","Let $\Phi:\mathcal{B}(\mathcal{H}_A)\to\mathcal{B}(\mathcal{K}_A)$ and $\Omega:\mathcal{B}(\mathcal{H}_B)\to\mathcal{B}(\mathcal{K}_B)$ be quantum channels (completely positive trace-preserving linear maps between matrix algebras). For $p>0$, $p\neq 1$, the Rényi entropy of order $p$ of a density operator $\rho$ is
$$S^p(\rho)=\frac{1}{1-p}\log\operatorname{Tr}(\rho^p),$$
and for $p=1$ it is the von Neumann entropy $S(\rho)=-\operatorname{Tr}(\rho\log\rho)$. The minimal output Rényi $p$-entropy of a channel $\Phi$ is
$$S^p_{\min}(\Phi)=\inf_{\rho}S^p(\Phi(\rho)),$$
where the infimum is over input density operators (equivalently, pure states).

Decide the following statement: for every pair of quantum channels $\Phi$ and $\Omega$, there exists $p^*>0$ such that either
\begin{enumerate}
\item[(i)] $p^*<1$ and $S^p_{\min}(\Phi\otimes\Omega)=S^p_{\min}(\Phi)+S^p_{\min}(\Omega)$ holds for every $p\in(p^*,1)$, or
\item[(ii)] $p^*>1$ and $S^p_{\min}(\Phi\otimes\Omega)=S^p_{\min}(\Phi)+S^p_{\min}(\Omega)$ holds for every $p\in(1,p^*)$.
\end{enumerate}
That is, prove this dichotomy holds for all channel pairs, or exhibit a counterexample.",Mathematical Physics,Quantum channels and Rényi entropy additivity,solved,"The conjecture appears to be refuted. Hastings (2009) produced channels for which additivity of minimum output von Neumann entropy fails at $p=1$; subsequent analyses (Aubrun–Szarek–Werner; Cubitt–Harrow–Leung–Montanaro–Winter; Collins–Fukuda–Nechita and others) show that the same random-subspace constructions yield violations of additivity of the minimum output Rényi $p$-entropy on intervals adjacent to $p=1$ (in particular for $p\in(1-p_0,1)$ with $p_0\approx 0.2855$). Combined with Hayden–Winter / Grudka–Horodecki / recent constructive results showing violations for all $p>1$, there exist fixed pairs $(\Phi,\Omega)$ for which additivity fails on every one-sided neighborhood of $p=1$, contradicting the conjectured dichotomy.","[{""title"": ""Counterexamples to the Maximal p-Norm Multiplicativity Conjecture for all p > 1"", ""url"": ""https://arxiv.org/abs/0807.4753"", ""snippet"": ""Counterexamples to multiplicativity (equivalently, additivity of minimum output Rényi entropy) for all p>1."", ""claim"": ""Additivity of S^p_min fails for all p>1, refuting case (ii) for the constructed pairs.""}, {""title"": ""Hastings's additivity counterexample via Dvoretzky's theorem (Aubrun–Szarek–Werner)"", ""url"": ""https://case.edu/artsci/math/werner/publications/hastings-dvoretzky12c.pdf"", ""snippet"": ""Random constructions yielding additivity violations on intervals (1-p_0,1) with p_0≈0.2855."", ""claim"": ""There exist channel pairs for which additivity of S^p_min fails on a left neighborhood of p=1, refuting case (i).""}, {""title"": ""Constructive counterexamples to additivity of minimum output Rényi entropy for all p>1"", ""url"": ""https://arxiv.org/abs/2510.07547"", ""snippet"": ""Explicit channels with strictly sub-additive minimum output Rényi entropy for all p>1."", ""claim"": ""Constructive failure of additivity throughout p>1.""}]",https://arxiv.org/abs/0807.4753 https://case.edu/artsci/math/werner/publications/hastings-dvoretzky12c.pdf https://arxiv.org/abs/2510.07547,0.7,,opus,medium,58.74,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000036__0708.1902__q_016__ffdd3c2bbe66.json,"[2008, 2025]",2025.0
8034,outputs/parse-paper/5657872.json,5657872,Some of my favorite open problems,https://zbmath.org/5657872,https://zbmath.org/5657872,q_001,False,Critical Sobolev exponent equation in 3D,"Let Ω be the unit ball in R^3 and let λ1 = π^2 be the first eigenvalue of -Δ on Ω with zero Dirichlet boundary condition. For 0 < λ ≤ λ1/4, does the boundary value problem -Δu = u^5 + λu in Ω, u = 0 on ∂Ω, admit a smooth nontrivial solution u not identically zero?","Let $\Omega = \{x \in \mathbb{R}^3 : |x| < 1\}$ be the open unit ball in $\mathbb{R}^3$, and let $\lambda_1 = \pi^2$ denote the first Dirichlet eigenvalue of $-\Delta$ on $\Omega$. Consider the semilinear elliptic boundary value problem with the critical Sobolev exponent
$$-\Delta u = u^5 + \lambda u \quad \text{in } \Omega, \qquad u = 0 \quad \text{on } \partial \Omega,$$
where $\lambda \in \mathbb{R}$ is a parameter and the unknown $u : \Omega \to \mathbb{R}$ is a smooth function.

Prove or disprove: for every $\lambda$ with $0 < \lambda \le \lambda_1/4$, the problem admits a smooth solution $u \not\equiv 0$.",PDEs and Dynamical Systems,Brezis-Nirenberg critical exponent problem,solved,"A 2025 preprint by Chen, Wei and others titled ""On Brezis' First Open Problem: A Complete Solution"" (arXiv:2503.06904) claims a complete resolution of this problem, constructing infinitely many sign-changing, non-radial smooth solutions for the full parameter range, including $0 < \lambda \le \lambda_1/4$. The result has been announced but as of May 2026 is still in preprint/peer-review status.","[{""title"": ""On Brezis' First Open Problem: A Complete Solution"", ""url"": ""https://arxiv.org/abs/2503.06904"", ""snippet"": ""We provide a complete resolution to the first one--Open Problem 1.1--in Brezis's favorite open problems list: the existence of solutions to the long-standing Brezis-Nirenberg problem on a three-dimensional ball."", ""claim"": ""The 2025 preprint asserts existence of (infinitely many sign-changing nonradial) solutions for the full range of λ, resolving the open problem affirmatively.""}]",https://arxiv.org/abs/2503.06904,0.8,,opus,medium,45.43,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/008034__5657872__q_001__7ac5860219c7.json,[2025],2025.0
7227,outputs/parse-paper/2512.19395.json,2512.19395,,https://arxiv.org/abs/2512.19395,https://arxiv.org/pdf/2512.19395.pdf#page=9,q_011,True,"Theta_{1,p,q}-free graphs","For integers q >= p >= 3, what is the maximum spectral radius among graphs in G(m, theta_{1,p,q})? Equivalently, characterize the extremal graphs with m edges that avoid the theta graph formed by three internally disjoint paths of lengths 1, p, and q between the same two endpoints.","For integers $q \ge p \ge 3$, the theta graph $\theta_{1,p,q}$ is the graph obtained from two distinct vertices $u,v$ by joining them with three internally disjoint paths of lengths $1$, $p$, and $q$ (so $\theta_{1,p,q}$ has the edge $uv$ together with two internally disjoint $u$-$v$ paths of lengths $p$ and $q$). For a positive integer $m$, let $\mathcal{G}(m, \theta_{1,p,q})$ denote the family of simple graphs with exactly $m$ edges that contain no subgraph isomorphic to $\theta_{1,p,q}$. The spectral radius $\rho(G)$ of a graph $G$ is the largest eigenvalue of its adjacency matrix.

Determine, for all integers $q \ge p \ge 3$ and all sufficiently large $m$, the maximum value of $\rho(G)$ over $G \in \mathcal{G}(m, \theta_{1,p,q})$, and characterize all graphs attaining this maximum.",Combinatorics,spectral extremal graph theory,solved,"The problem, posed by Li, Zhao and Zou (2025) as Problem 8 concerning the maximum spectral radius among $\theta_{1,p,q}$-free graphs with $m$ edges, has reportedly been resolved completely; a recent survey/paper indicates that two of its theorems (corresponding to Theorem 3.27 and Theorem 3.36) together solve this problem. Independent confirmation via search was limited, so the resolution rests on this single source.","[{""title"": ""arXiv 2512.19395"", ""url"": ""https://arxiv.org/abs/2512.19395"", ""snippet"": ""Theorem 3.36 together with Theorem 3.27 solve Problem 8 completely."", ""claim"": ""The maximum spectral radius problem for theta_{1,p,q}-free graphs with m edges has been completely solved.""}]",https://arxiv.org/abs/2512.19395,0.7,,opus,medium,15.97,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/007227__2512.19395__q_011__939efa9937cd.json,[2025],2025.0
3708,outputs/parse-paper/1804.03737.json,1804.03737,"Open Problems, Questions, and Challenges in Finite-Dimensional Integrable Systems",https://zbmath.org/7030249,https://zbmath.org/7030249,q_023,False,Discrete integrability and billiards,Assume that the exterior of an outer billiard table is foliat ed by invariant curves. Prove that the table is an ellipse.,"Let $\gamma\subset\mathbb{R}^2$ be a smooth strictly convex closed plane curve (with positive curvature) bounding a convex domain $K$. The outer billiard map $T$ about $\gamma$ is defined on $\mathbb{R}^2\setminus K$ as follows: for a point $p$ outside $K$, let $\ell$ be the right tangent line from $p$ to $\gamma$, touching $\gamma$ at the point $q$; then $T(p)$ is the reflection of $p$ through $q$, i.e. $T(p)=2q-p$.

Suppose that there exists a neighborhood $U$ of $\gamma$ in $\mathbb{R}^2\setminus K$ (or, more strongly, the entire exterior $\mathbb{R}^2\setminus K$) that is foliated by continuous closed curves each of which is invariant under $T$. Prove that $\gamma$ must be an ellipse.",Dynamical Systems,Outer billiards rigidity,solved,"A 2024 result by M. Bialy (""Integrable outer billiards and rigidity"", Journal of Modern Dynamics) establishes that if the exterior of a smooth strictly convex curve of positive curvature is foliated by continuous curves invariant under the outer billiard map, then the curve must be an ellipse. The proof introduces a new generating function and uses an integral-geometric argument reducing to the Blaschke–Santaló inequality. This resolves the smooth (total) version of the outer Birkhoff conjecture as stated.","[{""title"": ""Integrable outer billiards and rigidity (Bialy)"", ""url"": ""https://www.aimsciences.org/article/doi/10.3934/jmd.2024002"", ""snippet"": ""If the exterior of the smooth convex plane curve γ of positive curvature is foliated by continuous curves which are invariant under the outer billiard map, then the curve γ must be an ellipse."", ""claim"": ""The total (global) exterior version of the conjecture was proved by Bialy in 2024.""}, {""title"": ""Integrable Billiards and Related Topics (Bialy–Mironov survey)"", ""url"": ""https://arxiv.org/pdf/2510.03790"", ""snippet"": ""Survey discussing integrable outer billiards and the rigidity theorem characterizing ellipses."", ""claim"": ""Recent survey confirms the rigidity result for outer billiards foliated exteriors.""}]",https://www.aimsciences.org/article/doi/10.3934/jmd.2024002 https://arxiv.org/pdf/2510.03790,0.7,,opus,medium,38.07,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/003708__1804.03737__q_023__28c35825740e.json,"[2024, 2025]",2025.0
