source,source_id,title,url,year,phrase,extra
zbmath,89059,Open problems,https://zbmath.org/89059,1992.0,open problems,links=nan
zbmath,6309957,Some open problems,https://zbmath.org/6309957,2014.0,open problems,links=https://doi.org/10.1007/978-3-319-02132-4_1|https://arxiv.org/abs/1304.2590
zbmath,47630,Open problems in topology,https://zbmath.org/47630,1990.0,open problems,links=nan
zbmath,2142896,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/2142896,2004.0,open problems,links=https://doi.org/10.1080/10236190410001726458
zbmath,1404606,Open problems of approximation,https://zbmath.org/1404606,1997.0,open problems,links=nan
zbmath,426262,Open problems in geometry,https://zbmath.org/426262,1993.0,open problems,links=nan
zbmath,970434,Open problems and conjectures,https://zbmath.org/970434,1995.0,open problems,links=nan
zbmath,4184372,Open problems in topology,https://zbmath.org/4184372,1991.0,open problems,links=https://doi.org/10.1016/0166-8641(91)90043-L
zbmath,3958946,Some open problems,https://zbmath.org/3958946,1986.0,open problems,links=https://doi.org/10.1016/0167-2789(86)90158-2
zbmath,1820121,Some open problems in elasticity.,https://zbmath.org/1820121,2002.0,open problems,links=https://doi.org/10.1007/0-387-21791-6_1
zbmath,6408310,"Open problems: descending cohomology, geometrically",https://zbmath.org/6408310,2014.0,open problems,links=https://doi.org/10.4310/ICCM.2014.v2.n1.a7
zbmath,5507021,Open problems in algebraic statistics,https://zbmath.org/5507021,2009.0,open problems,links=https://arxiv.org/abs/0707.4558
zbmath,7799891,Some of my favorite open problems,https://zbmath.org/7799891,2023.0,open problems,links=https://doi.org/10.4171/RLM/1008
zbmath,7658194,Geometric hydrodynamics in open problems,https://zbmath.org/7658194,2023.0,open problems,links=https://doi.org/10.1007/s00205-023-01848-x|https://arxiv.org/abs/2205.01143
zbmath,7051843,Open problems for Painlevé equations,https://zbmath.org/7051843,2019.0,open problems,links=https://doi.org/10.3842/SIGMA.2019.006|https://arxiv.org/abs/1901.10122|http://www.emis.de/24982
zbmath,900432891,Open problems on Iwahori-Hecke algebras,https://zbmath.org/900432891,2020.0,open problems,links=https://arxiv.org/abs/2006.08535
zbmath,5159470,Open problems in topology. II,https://zbmath.org/5159470,2007.0,open problems,links=nan
