global_index,source_json,paper_id,paper_title,paper_link,question_link,question_id,parser_is_solved,context_brief,original_question,self_contained_problem,macro_subject,category_tag,open_status,status_search_result,status_evidence,status_evidence_urls,confidence,validation_warnings,model,effort,elapsed_s,checkpoint_path
4003,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=161,q_403,false,Miscellaneous,"Let E be the compact plane set of transfinite diameter (=capacity) d(E) = 1 and let Y dn (E)n(n−1)/2 = max |wµ − wν |. wν ∈E 1≤µ<ν≤n It is known that dn (E) decreases with n and dn (E) → d(E) as n → ∞, so that dn (E) ≥ 1 is trivial. It is known by Pommerenke [648], that dn (E) ≥ n2/(n−1) if E is connected. Is this inequality true in general? Further, is it true that dn (E)(n−1)/2 ≤ Kn if E is connected, where K is some absolute constant? It is known that 4  dn (E)(n−1)/2 ≤ log n + 4 n, e in this case. (Ch. Pommerenke)","Let $E\subset\mathbb{C}$ be a compact set with logarithmic capacity (transfinite diameter) $d(E)=1$. For each integer $n\ge 2$, define the $n$-th diameter $d_n(E)$ by
$$d_n(E)^{n(n-1)/2} \;=\; \max_{w_1,\ldots,w_n\in E}\;\prod_{1\le \mu<\nu\le n}|w_\mu-w_\nu|.$$
It is classical that $d_n(E)$ is non-increasing in $n$ and $d_n(E)\to d(E)=1$, so $d_n(E)\ge 1$. Pommerenke proved that if $E$ is connected, then 
$$d_n(E)\;\ge\; n^{1/(n-1)}\quad\text{(equivalently, }d_n(E)^{n-1}\ge n\text{).}$$

(a) Does the inequality $d_n(E)\ge n^{1/(n-1)}$ hold for every compact set $E\subset\mathbb{C}$ with $d(E)=1$, without the assumption of connectedness?

(b) Does there exist an absolute constant $K>0$ such that, for every connected compact set $E\subset\mathbb{C}$ with $d(E)=1$ and every $n\ge 2$,
$$d_n(E)^{(n-1)/2}\;\le\; K\,n\,?$$
(For connected $E$ it is known that $d_n(E)^{(n-1)/2}\le\bigl(\tfrac{4}{e}\log n+4\bigr)n$.)",Analysis,transfinite diameter and capacity,unknown,"A web search did not surface a definitive resolution of either question. The lower bound $d_n(E)\ge n^{1/(n-1)}$ for general (not necessarily connected) compact plane sets of capacity 1, and the conjectured sharp linear-in-$n$ upper bound for $d_n(E)^{(n-1)/2}$ in the connected case (improving the known $(\tfrac{4}{e}\log n+4)n$ bound), do not appear to have been established in the literature surveyed.","[{""title"": ""Transfinite diameter - Encyclopedia of Mathematics"", ""url"": ""https://encyclopediaofmath.org/wiki/Transfinite_diameter"", ""snippet"": ""The sequence d_n(E) is non-increasing and converges to the transfinite diameter d(E)."", ""claim"": ""Confirms standard definition and monotonicity used in the problem; no resolution of the stated inequalities is given.""}, {""title"": ""Transfinite Diameter, Chebyshev Constant and Capacity"", ""url"": ""https://www.semanticscholar.org/paper/Transfinite-Diameter,-Chebyshev-Constant-and-Kirsch/d90ca587af209ea1559b6efb749b5bf29fff5db0"", ""snippet"": ""Survey of transfinite diameter and capacity."", ""claim"": ""General survey; does not record a proof of the unrestricted lower bound or the conjectured upper bound.""}]","https://encyclopediaofmath.org/wiki/Transfinite_diameter https://www.semanticscholar.org/paper/Transfinite-Diameter,-Chebyshev-Constant-and-Kirsch/d90ca587af209ea1559b6efb749b5bf29fff5db0",0.5,,opus,medium,31.79,outputs/self-contained-continue-checkpoints/004003__1809.07200__q_403__f1230dbfcc60.json
4005,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=162,q_406,false,Miscellaneous,"If z1 = 1, and the zi are arbitrary complex numbers for 2 ≤ i ≤ n, then Atkinson [35] proved that max |Sk | > c 1≤k≤n with c = 13 . What is the best value for the constant c?","For complex numbers $z_1, z_2, \ldots, z_n$ with $z_1 = 1$ and $z_2, \ldots, z_n$ arbitrary, define the power sums
$$S_k = \sum_{j=1}^{n} z_j^k, \qquad k = 1, 2, \ldots, n.$$
Let
$$R_n = \inf_{z_2, \ldots, z_n \in \mathbb{C}} \; \max_{1 \le k \le n} |S_k|, \qquad R = \liminf_{n \to \infty} R_n.$$
It is known that $R \ge \tfrac{1}{6}$ (and in fact $R_n > \tfrac12$ for all $n \ge 2$, with $R_n < 1$). Determine the best (largest) absolute constant $c$ such that
$$\max_{1 \le k \le n} |S_k| > c$$
holds for every choice of $z_2, \ldots, z_n \in \mathbb{C}$ when $z_1 = 1$ — equivalently, determine $\inf_{n \ge 1} R_n$ (or $\lim_{n\to\infty} R_n$).",Analysis,Turán power sum problem,open,"The problem of determining the optimal constant in Turán's pure power sum problem (with normalization z_1 = 1) is still open. Atkinson's lower bound 1/6 has been improved (with results showing 1/2 < R_n < 1 for n ≥ 2), but the exact value (and even the limit of R_n as n → ∞) remains undetermined; numerical evidence suggests a limit below 0.7.","[{""title"": ""Turán's pure power sum problem"", ""url"": ""https://www.researchgate.net/publication/220576436_Turan's_pure_power_sum_problem"", ""snippet"": ""Studies R_n with normalization z_1=1; bounds 1/2 < R_n < 1 for n ≥ 2."", ""claim"": ""Best constant not known; problem open with improved bounds beyond Atkinson's 1/6.""}, {""title"": ""An improved estimate in a power sum problem of Turán"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S0019357700800038"", ""snippet"": ""Improvements over Atkinson's lower bound for the Turán power sum problem."", ""claim"": ""Improvements known but exact optimal constant still undetermined.""}, {""title"": ""Explicit solutions to certain inf max problems from Turán power sum theory"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S0019357707000092"", ""snippet"": ""Numerical/explicit solutions suggest a limiting constant less than 0.7."", ""claim"": ""Limiting value of R_n remains an open problem.""}]",https://www.researchgate.net/publication/220576436_Turan's_pure_power_sum_problem https://www.sciencedirect.com/science/article/pii/S0019357700800038 https://www.sciencedirect.com/science/article/pii/S0019357707000092,0.85,,opus,medium,32.7,outputs/self-contained-continue-checkpoints/004005__1809.07200__q_406__0c79c944ee07.json
4007,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=163,q_409,true,Miscellaneous,"Let f (z) = n=0 an z n X fn (z) = ak z k , k=0 and let Γn be the modulus of the largest zero of fn (z). Then Kakeya (no citation) showed that lim inf n→∞ Γn ≤ A, with A√= 2. What is the best possible value of A? Clunie and Erdös [162] have shown that 2 < A < 2.","Let $f(z)=\sum_{n=0}^{\infty}a_n z^n$ be a formal power series with complex coefficients whose radius of convergence equals $1$, and for each $n\geq 0$ let
$$f_n(z)=\sum_{k=0}^{n}a_k z^k$$
denote its $n$-th partial sum. Define $\Gamma_n=\Gamma_n(f)$ to be the modulus of the largest zero of $f_n(z)$ (set $\Gamma_n=0$ if $f_n$ has no zeros). Let
$$A=\sup\bigl\{\liminf_{n\to\infty}\Gamma_n(f) : f \text{ is a power series of radius of convergence } 1\bigr\}.$$
A classical theorem of Kakeya gives $A\leq 2$, and it is known that $\sqrt{2}<A<2$. Determine the exact value of the constant $A$ (or describe it as the unique solution of an explicit equation that allows it to be computed to arbitrary accuracy).",Analysis,Zeros of partial sums of power series,solved,"J. D. Buckholtz, in ""Zeros of partial sums of power series"" (Michigan Math. J., 1968), settled the question by giving a method that determines the optimal constant to arbitrary accuracy, thereby resolving the problem posed after the Clunie–Erdős bounds √2 < A < 2.","[{""title"": ""Zeros of partial sums of power series — J. D. Buckholtz"", ""url"": ""https://projecteuclid.org/euclid.mmj/1029000105"", ""snippet"": ""Buckholtz, Michigan Mathematical Journal paper on zeros of partial sums of power series."", ""claim"": ""Buckholtz determined the optimal constant by a method allowing computation to any desired accuracy, settling the question.""}]",https://projecteuclid.org/euclid.mmj/1029000105,0.7,,opus,medium,24.18,outputs/self-contained-continue-checkpoints/004007__1809.07200__q_409__14f39def4f2e.json
4009,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=163,q_411,true,Miscellaneous,Suppose that f is a plane K-quasiconformal mapping of the unit disc D onto itself. Show that there exists a finite constant b = b(K) such that m(f (E)) ≤ b{m(E)}1/K for each measurable set E ⊂ D. Here m denotes plane Lebesgue measure. Such an inequality is known (see [303]) with the exponent K replaced by a constant a = a(K). (F. W. Gehring),"Let $\mathbb{D}=\{z\in\mathbb{C}:|z|<1\}$ denote the open unit disc, and let $m$ denote planar Lebesgue measure. A homeomorphism $f:\mathbb{D}\to\mathbb{D}$ is called $K$-quasiconformal (for some $K\ge 1$) if $f$ belongs to the Sobolev space $W^{1,2}_{\mathrm{loc}}(\mathbb{D})$ and its complex (Beltrami) dilatation $\mu_f=\partial_{\bar z}f/\partial_z f$ satisfies $\|\mu_f\|_\infty \le (K-1)/(K+1)$ almost everywhere.

Prove that there exists a finite constant $b=b(K)$, depending only on $K$, such that for every $K$-quasiconformal mapping $f$ of $\mathbb{D}$ onto itself and every Lebesgue-measurable set $E\subset \mathbb{D}$,
$$m\bigl(f(E)\bigr) \le b\,\bigl(m(E)\bigr)^{1/K}.$$
The exponent $1/K$ is the sharp one; in particular, prove that the inequality holds with exponent $1/K$ (not merely with some smaller exponent $a(K)$).",Analysis,quasiconformal mappings,solved,"This is Gehring's area distortion conjecture for planar quasiconformal mappings. It was proved by K. Astala (Acta Math. 173 (1994), 37–60), who established the sharp area distortion inequality with exponent 1/K. A simplified proof was later given by Eremenko and Hamilton.","[{""title"": ""Area distortion of quasiconformal mappings"", ""url"": ""https://link.springer.com/article/10.1007/BF02392568"", ""snippet"": ""K. Astala, Area distortion of quasiconformal mappings, Acta Mathematica 173 (1994), 37-60, proves the sharp area distortion inequality with exponent 1/K."", ""claim"": ""Astala proved the sharp area distortion inequality with exponent 1/K, settling Gehring's conjecture.""}, {""title"": ""On the area distortion by quasiconformal mappings"", ""url"": ""https://www.ams.org/journals/proc/1995-123-09/S0002-9939-1995-1273531-7/"", ""snippet"": ""Eremenko and Hamilton give a simplified proof of Astala's area distortion theorem."", ""claim"": ""A simplified proof was provided by Eremenko and Hamilton.""}]",https://link.springer.com/article/10.1007/BF02392568 https://www.ams.org/journals/proc/1995-123-09/S0002-9939-1995-1273531-7/,0.95,,opus,medium,17.53,outputs/self-contained-continue-checkpoints/004009__1809.07200__q_411__e02740766af4.json
4011,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=164,q_413,false,Miscellaneous,Show that each quasiconformal mapping of Rn onto Rn has a quasiconformal extension to Rn+1 . This has been established by Ahlfors when n = 2 and by Carleson when n = 3. (F. W. Gehring),"A homeomorphism f: R^n → R^n (n ≥ 2) is called K-quasiconformal if f belongs to the Sobolev space W^{1,n}_{loc}(R^n, R^n) and its differential Df(x) satisfies |Df(x)|^n ≤ K · J_f(x) almost everywhere, where J_f denotes the Jacobian determinant. Equivalently, f is quasiconformal if the linear dilatation H(x,f) = limsup_{r→0} (max_{|y-x|=r}|f(y)-f(x)|)/(min_{|y-x|=r}|f(y)-f(x)|) is uniformly bounded on R^n.

Identify R^n with the hyperplane R^n × {0} ⊂ R^{n+1}. Prove that for every n ≥ 2 and every quasiconformal homeomorphism f: R^n → R^n, there exists a quasiconformal homeomorphism F: R^{n+1} → R^{n+1} whose restriction to R^n × {0} coincides with f.",Analysis,Quasiconformal mappings,solved,"The problem was solved in full generality by P. Tukia and J. Väisälä in ""Quasiconformal extension from dimension n to n+1,"" Annals of Mathematics 115 (1982), 331–348, who proved that every quasiconformal self-map of R^n extends to a quasiconformal self-map of R^{n+1}. Earlier cases were handled by Ahlfors (n=2) and Carleson (n=3).","[{""title"": ""Quasiconformal extension from dimension n to n+1"", ""url"": ""https://annals.math.princeton.edu/1982/115-2/p04"", ""snippet"": ""Tukia and Väisälä, Annals of Mathematics 115 (1982), proves quasiconformal extension from R^n to R^{n+1} for all n."", ""claim"": ""The problem is solved for all n by Tukia and Väisälä (1982).""}]",https://annals.math.princeton.edu/1982/115-2/p04,0.95,,opus,medium,26.84,outputs/self-contained-continue-checkpoints/004011__1809.07200__q_413__2e52b1150f0f.json
4013,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=164,q_415,false,Miscellaneous,"One part of Nevanlinna theory is devoted to the following problem. How does the geometric structure of a simply connected Riemann covering surface of the sphere influence the value distribution of the meromorphic function generating the surface? It is suggested that one also consider halfsheets among the constituent pieces of such surfaces, which have an infinite number of branch points on their boundary. A typical example is the covering surface generated by ez − z. It contains a right half-plane with a second order branch point at 2πin for each integer n. (F. Huckeman)","Background. In classical Nevanlinna–Ahlfors theory, a non-constant meromorphic function f on the complex plane is represented geometrically by its Riemann covering surface F over the Riemann sphere: F is the simply connected surface obtained by analytic continuation of f^{-1}, and the value distribution of f (deficiencies, ramification, etc.) is reflected in the geometric structure of F. The surface F is built up from ""sheets"" and ""halfsheets"" together with branch points; here a halfsheet is a simply connected piece of F lying over a half of the sphere whose boundary may contain infinitely many branch points. A typical example is the surface generated by f(z) = e^{z} − z, which contains a right halfplane in which, for each integer n, there is a branch point of second order over the image of 2πin.

Problem. Develop a value-distribution theory for meromorphic functions whose Riemann covering surfaces of the sphere contain halfsheets with infinitely many branch points on their boundary. Specifically:

(a) Give a precise combinatorial/topological description of admissible halfsheets H, including the distribution (order and accumulation) of branch points on ∂H, that can occur as constituent pieces of the simply connected Riemann covering surface of a meromorphic function on C.

(b) Determine how the presence and structure of such halfsheets in the covering surface F of a meromorphic function f influence the value distribution of f, in particular the Nevanlinna deficiencies δ(a, f), the ramification indices ϑ(a, f), the order and lower order of f, and the deficient/ramified value sets.

(c) Establish quantitative inequalities (analogues of the Second Main Theorem and the defect relation) that incorporate halfsheet contributions, and exhibit a class of explicit examples (beyond e^{z} − z) realizing the prescribed halfsheet structures.",Analysis,Nevanlinna theory and covering surfaces,unknown,"The proposal, attributed to F. Huckemann, is a programmatic suggestion to extend the classical theory of Riemann covering surfaces (Nevanlinna–Ahlfors) to include halfsheets with infinitely many boundary branch points. While there is continuing research on covering surfaces and branch-point movement in Ahlfors theory (e.g., recent work on movement of branch points in Ahlfors' theory of covering surfaces), no specific resolution of this open-ended program could be located, and no source identifies the suggestion as solved.","[{""title"": ""Movement of branch points in Ahlfors' theory of covering surfaces"", ""url"": ""https://arxiv.org/html/2307.04315"", ""snippet"": ""Recent paper on Ahlfors' theory of covering surfaces, indicating ongoing activity on related questions about branch points in covering surfaces."", ""claim"": ""Research on covering surfaces and branch points in Ahlfors theory continues, but no resolution of Huckemann's specific halfsheet program is identified.""}, {""title"": ""Ahlfors' contribution to the theory of meromorphic functions (Eremenko)"", ""url"": ""https://www.math.purdue.edu/~eremenko/dvi/ahl.pdf"", ""snippet"": ""Survey discussing Huckemann among contributors to the theory of meromorphic functions and covering surfaces; no claim that the halfsheet program is settled."", ""claim"": ""Survey literature on covering-surface theory does not record this proposal as solved.""}]",https://arxiv.org/html/2307.04315 https://www.math.purdue.edu/~eremenko/dvi/ahl.pdf,0.5,,opus,medium,35.87,outputs/self-contained-continue-checkpoints/004013__1809.07200__q_415__78ae7b187c5a.json
4015,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=166,q_419,true,Miscellaneous,Let f (z) be analytic and bounded for ℜzP> 0. Suppose that |α| < 12 π and that (rn ) is a sequence of positive integers with rn = ∞. Show that the exponential type of f on the sequence zn = rn eiα is equal to the type of f on the ray z = reiα . (Proofs by Boas [102] and by Levinson [516] for α = 0 do not seem to work for |α| > 14 π.) (J. Korevaar),"Let $f(z)$ be analytic and bounded in the right half-plane $\{z\in\mathbb{C}:\Re z>0\}$. For a direction $\alpha\in\mathbb{R}$ with $|\alpha|<\tfrac{1}{2}\pi$, define the exponential type of $f$ along the ray $z=re^{i\alpha}$ ($r>0$) by
$$\tau(\alpha)=\limsup_{r\to\infty}\frac{\log|f(re^{i\alpha})|}{r},$$
and, given a sequence $(r_n)$ of positive integers with $r_n\to\infty$, define the exponential type of $f$ along the discrete sequence $z_n=r_n e^{i\alpha}$ by
$$\tau^*(\alpha)=\limsup_{n\to\infty}\frac{\log|f(r_n e^{i\alpha})|}{r_n}.$$
Prove that for every $\alpha$ with $|\alpha|<\tfrac{1}{2}\pi$ and every such sequence $(r_n)$ of positive integers tending to infinity, one has
$$\tau^*(\alpha)=\tau(\alpha).$$",Analysis,Exponential type of bounded analytic functions,solved,"The problem was resolved affirmatively by J. Korevaar and R. Zeinstra, who proved the stated equality of exponential types along integer sequences and along the full ray for bounded analytic functions on the right half-plane, for all $|\alpha|<\pi/2$. Further developments appear in subsequent work by Zeinstra.","[{""title"": ""Research Problems in Function Theory (New Edition)"", ""url"": ""https://arxiv.org/abs/1809.07200"", ""snippet"": ""This has been proved by Korevaar and Zeinstra. See also Zeinstra."", ""claim"": ""The problem has been solved by Korevaar and Zeinstra.""}]",https://arxiv.org/abs/1809.07200,0.8,,opus,medium,15.19,outputs/self-contained-continue-checkpoints/004015__1809.07200__q_419__47383289288f.json
4017,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=166,q_421,false,Miscellaneous,"For what sets Ω of lattice points (mk , nk ) do the monomials xmk y nk span L2 orPC0 on the unit square 0 ≤ x ≤ 1, 0 ≤ y ≤ 1? It is conjectured that the condition mk nk = ∞ is sufficient for sets Ω in an angle εx ≤ y ≤ x/ε, ε > 0. Hellerstein [425] has shown that the condition is not necessary. (J. Korevaar)","Let $\Omega = \{(m_k, n_k)\}_{k\ge 1}$ be a set of lattice points in $\mathbb{Z}_{\ge 0}^2$. Consider the unit square $S = \{(x,y) : 0 \le x \le 1,\ 0 \le y \le 1\}$, and the family of monomials $\{x^{m_k} y^{n_k}\}_{k \ge 1}$ on $S$.

Characterize those sets $\Omega$ for which the linear span of $\{x^{m_k} y^{n_k}\}$ is dense in $L^2(S)$ (respectively, dense in $C_0(S)$, the space of continuous functions on $S$ vanishing on the union of the coordinate axes intersected with $S$, equipped with the supremum norm).

In particular, assume that $\Omega$ is contained in an angular sector
$$\{(m,n) : \varepsilon m \le n \le m/\varepsilon\}$$
for some $\varepsilon > 0$. Prove or disprove the conjecture that, in this case, the divergence condition
$$\sum_{k} \frac{1}{m_k + n_k} = \infty \quad \text{(equivalently, the Müntz-type condition that } m_k n_k \to \infty \text{ in the appropriate sense)}$$
— more precisely, the condition that ""$m_k n_k = \infty$"" in the sense given by such a divergence — is sufficient for the monomials to span $L^2(S)$ (or $C_0(S)$).

It is known that this condition is not necessary in general; the question asks for sufficiency within the sector and, more broadly, for a complete characterization of spanning sets $\Omega$.",Analysis,Müntz-type completeness of monomials,unknown,"A targeted web search did not return specific results addressing the conjecture about completeness of bivariate monomial systems $\{x^{m_k}y^{n_k}\}$ on the unit square within an angular sector. Hellerstein's result that the divergence condition is not necessary is referenced in the original problem, but no source confirming a full resolution of the sufficiency conjecture in the sector $\varepsilon m \le n \le m/\varepsilon$ was located. The status is therefore taken to be unknown.","[{""title"": ""Web search for Korevaar monomials completeness on unit square"", ""url"": ""https://www.google.com/search?q=Korevaar+monomials+span+unit+square"", ""snippet"": ""No specific references found resolving the sufficiency conjecture for spanning sets of bivariate monomials within an angular sector on the unit square."", ""claim"": ""No conclusive evidence that the conjecture has been settled.""}]",https://www.google.com/search?q=Korevaar+monomials+span+unit+square,0.5,,opus,medium,32.58,outputs/self-contained-continue-checkpoints/004017__1809.07200__q_421__1ca76494d80e.json
4019,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=167,q_423,false,Miscellaneous,"Suppose that |zk | = 1 (1 ≤ k < ∞). Put m X Al = lim sup zkl . m→∞ k=1 It is easy to see that there is a sequence zk , for which Al < cl for all l, and Clunie [160] proved Al > cl 2 for infinitely many l. Is there a sequence for which Al = o(l) as l → ∞? (P. Erdös)","Let $(z_k)_{k=1}^{\infty}$ be a sequence of complex numbers with $|z_k|=1$ for every $k\ge 1$. For each positive integer $l$, define
$$A_l \;=\; \limsup_{m\to\infty}\,\Bigl|\sum_{k=1}^{m} z_k^{\,l}\Bigr|.$$
It is known that there exist sequences $(z_k)$ for which $A_l < c\,l$ for all $l$ (with some absolute constant $c>0$), and it has been proved that for every such sequence one has $A_l > c\,l^{1/2}$ for infinitely many $l$.

Question: Does there exist a sequence $(z_k)_{k\ge 1}$ on the unit circle such that
$$A_l = o(l) \qquad \text{as } l \to \infty\,?$$",Analysis,Unimodular sequences and exponential sums,unknown,"A web search did not surface a definitive resolution of this particular Erdős question on the growth of $A_l = \limsup_m |\sum_{k\le m} z_k^l|$ for unimodular sequences. Recent related work (e.g., a 2025 result that the sequence of partial sums of a unimodular power series cannot be ultraflat) addresses adjacent questions but does not appear to settle whether some unimodular sequence achieves $A_l = o(l)$. The status of this specific problem could not be confirmed from available sources.","[{""title"": ""The sequence of partial sums of a unimodular power series is not ultraflat"", ""url"": ""https://arxiv.org/abs/2504.19336"", ""snippet"": ""If (a_j) has |a_j|=1 and P_n(z)=sum a_j z^j, then (P_n) is not an ultraflat sequence of unimodular polynomials."", ""claim"": ""A related result on partial sums of unimodular sequences from 2025, but it does not directly resolve the o(l) question for A_l.""}, {""title"": ""Erdős Problems"", ""url"": ""https://www.erdosproblems.com/"", ""snippet"": ""Catalogue of Erdős problems and their statuses."", ""claim"": ""No entry verified that explicitly resolves the A_l=o(l) question.""}]",https://arxiv.org/abs/2504.19336 https://www.erdosproblems.com/,0.7,,opus,medium,65.12,outputs/self-contained-continue-checkpoints/004019__1809.07200__q_423__86504b1c0221.json
4021,outputs/parse-paper/1809.07200.json,1809.07200,Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200,https://arxiv.org/pdf/1809.07200.pdf#page=168,q_426,true,Miscellaneous,"Let E = {|z| < 1}, let 0, a > 0, b = |b|eiβ (−π < β ≤ π) be distinct points of E; and let K be the family of continua K with the properties that {a, b} ⊂ K ⊂ E \ {0} and E \ K is connected. On any K ∈ K there is a continuous function arg z; we thus subdivide K into homotopy classes {Kn } according to the value of V (K) = arg b − arg a ∈ {β + 2nπ, n ∈ Z}. Let us call K ∈ K a natural continuum if K is a trajectory of a quadratic differential a with the following properties: (a) 0, a, b are simple poles of σ, and there is no other pole of σ in E; (b) σ is real on ∂E. There are many problems that then arise, for example: (i) Do all homotopy classes contain natural continua? (There are many in Kn when |β + 2nπ| < 2π.) (ii) Find all natural continua in K. (iii) How does the modulus of E \ K vary when K runs through the natural continua in Kn ? (F. Huckemann)","Let $E=\{z\in\mathbb{C}:|z|<1\}$ be the open unit disk. Fix three distinct points of $E$: the origin $0$, a point $a>0$ on the positive real axis, and a point $b=|b|e^{i\beta}$ with $-\pi<\beta\le\pi$. Let $\mathcal{K}$ denote the family of continua $K\subset E$ such that $\{a,b\}\subset K\subset E\setminus\{0\}$ and $E\setminus K$ is connected.\n\nFor any $K\in\mathcal{K}$, since $0\notin K$ and $E\setminus K$ is connected (so $K$ is simply connected in $E\setminus\{0\}$ relative to homotopy), there is a continuous branch of $\arg z$ defined on $K$. Setting $V(K)=\arg b-\arg a$, the value $V(K)$ lies in $\{\beta+2n\pi:n\in\mathbb{Z}\}$, and this partitions $\mathcal{K}$ into homotopy classes $\{\mathcal{K}_n\}_{n\in\mathbb{Z}}$ indexed by the integer $n$ for which $V(K)=\beta+2n\pi$.\n\nA continuum $K\in\mathcal{K}$ is called a natural continuum if $K$ is a (closure of a) trajectory of a meromorphic quadratic differential $\sigma=\sigma(z)\,dz^2$ on the closed disk such that:\n(a) $0$, $a$, $b$ are simple poles of $\sigma$, and $\sigma$ has no other poles in $E$;\n(b) $\sigma$ is real on $\partial E$ (i.e. $\sigma(z)\,dz^2$ takes real values along the unit circle).\n\nAddress the following questions:\n(i) Does every homotopy class $\mathcal{K}_n$ contain a natural continuum?\n(ii) Determine all natural continua in $\mathcal{K}$.\n(iii) As $K$ ranges over the natural continua in a fixed homotopy class $\mathcal{K}_n$, describe how the conformal modulus of the doubly connected (or appropriate) domain $E\setminus K$ varies.",Analysis,quadratic differentials and extremal continua,partially_solved,"According to the problem record, part (i) was answered affirmatively by D. H. Hamilton; parts (ii) and (iii) (full classification of natural continua and the behavior of the modulus of $E\setminus K$ within a homotopy class) do not appear to have a confirmed complete resolution in the available literature. The overall problem is therefore partially solved.","[{""title"": ""Research Problems in Function Theory (New Edition)"", ""url"": ""https://arxiv.org/abs/1809.07200"", ""snippet"": ""(i) An affirmative answer has been given by D. H. Hamilton."", ""claim"": ""Part (i) of the Huckemann problem on natural continua has been solved affirmatively by D. H. Hamilton; parts (ii) and (iii) are not stated as resolved.""}]",https://arxiv.org/abs/1809.07200,0.6,,opus,medium,18.79,outputs/self-contained-continue-checkpoints/004021__1809.07200__q_426__b82dc03675de.json
